frame_id,frame_counter,fps,retry_status
1,1,77.73537572163497,0
2,2,8.4866761857071,0
3,3,9.556302499532581,0
4,4,11.46672890192313,0
5,5,11.178513448454268,0
6,6,13.12425950463568,0
7,7,11.841066692572799,0
8,8,11.149352398778454,0
9,9,12.675447202439756,0
10,10,13.695595343102434,0
11,11,11.932420830107763,0
12,12,13.376863788366723,0
13,13,12.317712179129261,0
14,14,12.272314359525584,0
15,15,11.27408248306717,0
16,16,14.53798043756424,0
17,17,13.291717497462292,0
18,18,12.963851466989965,0
19,19,12.446103238933118,0
20,20,14.241389385417074,0
21,21,14.618147883837187,0
22,22,13.822181505110892,0
22,23,12.958863978308875,1
23,23,20.708002033869782,0
24,24,13.640268101104805,0
25,25,13.191908684751184,0
26,26,12.333442106047427,0
27,27,14.548854427622501,0
28,28,12.733946472805302,0
28,29,14.224637957743349,1
29,29,21.112431318336633,0
30,30,13.116279887291277,0
-1,31,12.380990974213576,1
36,0,25.711676713822854,1
37,37,21.36052305777665,0
-1,38,13.580252563599979,1
40,0,21.012106965945037,1
-1,41,20.21834355306258,1
-1,0,20.05634831072058,1
-1,0,22.05903487433899,1
48,0,18.644686073342164,1
49,49,26.299783287095078,0
50,50,16.840295729164595,0
50,51,16.345808792371578,1
51,51,23.628201553280693,0
52,52,15.38272449286372,0
53,53,16.30494552642845,0
54,54,15.508462386302684,0
55,55,16.654996510590227,0
56,56,14.416259072215263,0
57,57,15.743581888744341,0
58,58,14.7485418595468,0
59,59,15.4480865814756,0
60,60,14.966620246186395,0
61,61,14.480184403406563,0
62,62,13.562681533112322,0
63,63,13.756785155938978,0
63,64,13.722158563642072,1
64,64,16.278717692878075,0
65,65,13.711598491678894,0
66,66,12.34370249605574,0
67,67,13.201277957609033,0
67,68,13.567902099259296,1
68,68,19.693657671340873,0
-1,69,12.487840589594803,1
71,0,19.348095711014473,1
72,72,20.105642282574337,0
73,73,10.921297265782117,0
74,74,12.034486361094222,0
75,75,9.809507024975645,0
75,76,12.192274014480638,1
75,76,19.103360470227532,1
76,76,16.871631968819976,0
77,77,11.417147235320295,0
78,78,12.993602768543925,0
-1,79,11.764805260369029,1
80,0,19.997346752010632,1
80,81,16.854775512477968,1
81,81,18.397811499378054,0
82,82,11.881647009175156,0
82,83,13.151892282471621,1
83,83,15.499604806515961,0
84,84,12.15792670197066,0
85,85,11.316002679091135,0
86,86,12.138399653684989,0
87,87,10.981038754909676,0
88,88,11.759641903860677,0
88,89,11.766229955189942,1
89,89,17.69067706086858,0
89,90,13.696655004293664,1
89,90,14.631798330430705,1
90,90,19.780460232374384,0
-1,91,11.670595845067261,1
-1,0,15.977613956751714,1
-1,0,18.771421359563778,1
100,0,15.61163253960826,1
102,101,18.246658512262023,1
103,103,17.761693104181997,0
106,104,11.026104257718579,1
-1,107,16.353655252093947,1
109,0,19.31025096648728,1
110,110,17.95947079053445,0
111,111,10.739872040182938,0
112,112,12.960895100149362,0
113,113,20.755750930815072,0
114,114,26.1779124754822,0
114,115,24.279269284245256,1
115,115,37.28036042696345,0
116,116,23.452045398152162,0
117,117,24.459077114596532,0
118,118,24.613383433604632,0
119,119,26.873079145801167,0
