frame_id,fps,cps
9,9.679622874006755,0.7889041271917251
12,8.447225872027824,2.6727971296252746
16,8.619184120843078,2.0355224767769795
21,9.478906589178223,1.8425856184052076
24,9.029455112047277,2.9528059143338155
29,8.619640139965131,1.570109996878424
33,8.573298824716078,1.8871561470019904
54,8.97829289460717,3.36593485823331
58,8.79923106058548,2.164366802606659
58,8.26378292540881,14.562794120059603
62,8.73783761778571,2.2638653871065464
66,13.69777355468713,1.9260389783904424
70,13.338719331816131,1.7973573774523557
74,9.420462119994585,2.1422428195098013
99,8.74512922543355,1.0017094482358273
103,9.097655747438441,2.275589177757938
103,12.988921513841667,27.411805804663366
107,20.069368564727828,4.773528280487217
111,17.35693550156038,4.540912703981087
115,18.51495987561967,4.538893883792943
119,18.5523015733492,3.8354875177009626
