frame_id,received_fame_id,my_gap,received_time,send_time,current_srv_fps,received_fps,current_cps,received_cps,current_srv_fps/received_fps,received_cps/current_cps,bitrate
7,1,6,2472.153589991,2472.093407008,14.362825629211029,77.18279703472587,3.256829538976553,0.0,0.18608843137349568,0.0,2800 
26,11,15,2473.271286941,2473.24429355,18.13166336368332,10.132096293537563,0.8946969033062255,0.0,1.7895273434430372,0.0,3080.0 
27,12,15,2473.336657248,2473.272315706,15.293975520985823,10.132096293537563,15.297465254431051,0.0,1.5094581691589923,0.0,2156.0 
31,16,15,2473.633281845,2473.612435825,18.50726952593474,12.364152277017723,3.371264588686829,0.7972246282794284,1.4968490448258016,0.2364764340819545,1509.2 
35,20,15,2473.948039132,2473.942056115,17.99329782034534,12.82298255988472,3.177051147987108,2.940113697312451,1.4032069166681533,0.9254222108369977,1509.2 
37,21,16,2474.121132699,2474.078528795,17.62414473990641,12.267818951820468,5.777222211837315,3.0337682739729304,1.4366159795088185,0.525125771994169,1509.2 
42,25,17,2474.418146663,2474.361820084,15.87280045651381,12.456342853838072,3.3668450686077778,3.0337682739729304,1.2742745316795012,0.9010715409091937,1509.2 
45,28,17,2474.6437621,2474.634319948,16.50306245677821,12.607012100826324,4.432320825631479,2.3823000594413606,1.3090383609369678,0.5374836689765008,1509.2 
45,28,17,2474.709459398,2474.698517928,15.23067195368429,10.056834996142381,15.221326149509448,3.669956186627595,1.5144597638846116,0.24110620523993373,1509.2 
48,30,18,2474.949193721,2474.946608987,18.300701200440713,11.183855254966236,4.171284226164094,15.562255902136362,1.6363499690604644,3.730806883051311,1509.2 
50,32,18,2475.067076281,2475.065338269,18.796773421027066,10.326501357910304,8.483019031822987,15.562255902136362,1.820246061036768,1.834518565118916,1509.2 
50,32,18,2475.13158253,2475.124231734,14.809615433075436,11.86022225198588,15.502374041358642,2.7265164956995265,1.2486794191901176,0.1758773519736705,1509.2 
55,36,19,2475.492943932,2475.475183337,15.099316585249207,12.156077371944473,2.7673127081786193,16.96349762354376,1.2421208028913637,6.129953284068405,1509.2 
55,36,19,2475.551244688,2475.53892799,17.15652344124241,11.362007723115628,17.152436239321663,2.849818546639809,1.509990475216632,0.1661465757328775,1509.2 
58,38,20,2475.783805627,2475.777722037,16.623083159097266,10.915976389456963,4.299948238513174,15.678754855946059,1.5228214651648047,3.646265951649553,1509.2 
60,40,20,2475.908669863,2475.899193257,16.240691464997013,10.609914770121149,8.008698343396507,15.678754855946059,1.530708946949587,1.9577157465137667,1509.2 
68,45,23,2476.446638481,2476.401824751,14.840434020947244,10.923536153573192,1.858844487468122,2.7760548964209435,1.358574166122277,1.4934304161194931,1509.2 
70,45,25,2476.626177732,2476.606707385,16.462502551241304,18.38664879246178,5.569812697940068,1.9895901658126194,0.8953509003767264,0.3572095281675175,1509.2 
75,49,26,2476.915622374,2476.87738092,18.197525955404316,11.209660970084231,3.454892075700884,1.9895901658126194,1.623378798339124,0.5758762132704238,1509.2 
82,65,17,2477.389828253,2477.338565953,17.331730818326477,10.9847001580948,2.1087887018803877,2.102760686749951,1.5778064552407878,0.9971414797864473,1509.2 
82,65,17,2477.455161458,2477.400608157,15.312004446124458,10.967043759334661,15.306152514609279,2.1683461588230024,1.3961834002067839,0.14166500410559602,1509.2 
89,70,19,2477.855040959,2477.852804436,16.414833842406093,17.587617332417913,2.5007533456950117,2.1683461588230024,0.9333176593596838,0.8670771799848872,1509.2 
95,74,21,2478.268833231,2478.219807284,17.332347238296233,11.457279705128789,2.4166715225645126,1.944581360257514,1.5127803182231383,0.8046527391500736,1509.2 
95,74,21,2478.338179035,2478.280074494,14.42925944452767,11.170630214831018,14.420483177319252,2.7247458301900176,1.291714000645213,0.18894969029023506,1509.2 
101,78,23,2478.680128345,2478.650362257,13.563763039762316,10.540455977629199,2.924410053642006,2.7247458301900176,1.286828868556513,0.9317249565589032,1509.2 
107,82,25,2479.082136279,2479.023879619,15.705700305480319,10.610857742693684,2.487513094702595,2.3221034244427443,1.4801536959907684,0.9335040001951721,1509.2 
108,82,26,2479.198677745,2479.167738335,18.332330952032773,11.68997380520978,8.580636869631268,2.6779332890258196,1.5682097545729954,0.3120902713531213,1509.2 
112,86,26,2479.428134236,2479.421413792,18.181422487829856,13.025412410321984,4.358124695634388,2.6779332890258196,1.39584236683531,0.6144691756315173,1509.2 
117,90,27,2479.776514096,2479.756086108,15.457995201302815,11.309676355553533,2.8704299955799244,2.5155434296517813,1.366793771575283,0.8763646678460647,1509.2 
117,90,27,2479.835133776,2479.809826627,17.063290628584987,12.408444601675384,17.059117347623317,2.9879676842082774,1.375135335357109,0.17515370949860792,1509.2 
118,106,12,2479.950491325,2479.911025869,15.211920535500814,16.752686125635904,8.668700129905583,18.606731308836014,0.9080287436545879,2.1464269186848286,1509.2 
