frame_id,received_fame_id,my_gap,received_time,send_time,current_srv_fps,received_fps,current_cps,received_cps,current_srv_fps/received_fps,received_cps/current_cps,bitrate
6,1,5,111663.816145031,111663.783386063,23.302533363936792,77.27955568541338,4.66910784426722,0.0,0.3015355504733469,0.0,5600 
23,11,12,111664.649148641,111664.617146916,18.516063770893442,13.375839073995568,1.2004749895465285,0.0,1.3842917568357385,0.0,6160.0 
23,11,12,111664.69413848,111664.667329879,22.223587736548527,11.487991259286602,22.227241129796823,1.1121699698364131,1.9345059754100649,0.050036347891393905,4312.0 
29,15,14,111664.970512324,111664.928633199,21.39131646464774,12.950526646118297,3.618287409319266,1.1121699698364131,1.651771935549774,0.307374689741867,3018.4 
34,19,15,111665.254074835,111665.233968914,22.962239058484037,13.47426407474863,3.5265592636578673,3.210405040834555,1.7041553387332147,0.9103505147123527,3018.4 
37,21,16,111665.430510891,111665.423071685,23.713688323654086,15.548705902340469,5.667775751992006,3.2750112989596083,1.525122957022718,0.5778300769589494,3018.4 
39,23,16,111665.514037012,111665.512543821,32.58763164381327,13.61499842388848,11.972302652291738,3.2750112989596083,2.393509762486344,0.2735489900376604,3018.4 
48,28,20,111665.966552155,111665.932904518,27.41234682819723,15.696958042483498,2.209870797633066,3.5897665736292,1.7463477161629832,1.6244237343984564,3018.4 
51,29,22,111666.149976992,111666.11967715,25.851367616621037,13.883586903345064,5.451824389529484,2.3788814626837578,1.8620092773282166,0.4363459445341866,3018.4 
52,31,21,111666.201437261,111666.193382614,19.378537661470258,19.136341684704824,19.43246740715062,2.3788814626837578,1.0126563363445278,0.12241787997587963,3018.4 
55,40,15,111666.380369791,111666.368647717,21.628234482994174,23.45727154589258,5.588698712142637,3.8391792829471627,0.9220268623603551,0.6869540622409522,3018.4 
55,40,15,111666.425222648,111666.414317137,22.29643168506155,23.767248665950984,22.295123810065636,5.705913704309658,0.9381158079522881,0.25592653142090177,3018.4 
59,43,16,111666.660129359,111666.625316266,21.545279126949247,16.964304253335538,4.257009072768007,21.883806659744064,1.270036118499407,5.140653046697573,3018.4 
60,44,16,111666.710388174,111666.644560891,19.89432769923825,16.964304253335538,19.897007123021805,21.883806659744064,1.17271698279796,1.0998541903532535,3018.4 
60,48,12,111666.755752566,111666.72464117,22.048849184713898,25.646489664000445,22.04372099201298,4.343880219394942,0.8597219141325023,0.19705748503026527,3018.4 
63,52,11,111666.957210738,111666.926628159,17.68234935890537,15.381699722595089,4.9638095594466405,12.488508698724255,1.149570572680646,2.5159121334454375,3018.4 
66,54,12,111667.174140591,111667.132075265,15.94474571550051,15.54387530199871,4.60978508094804,4.950715429915987,1.02578960559792,1.0739579704869522,3018.4 
68,56,12,111667.270823717,111667.233164456,17.123904304828947,15.693383180118092,10.343066482853201,4.950715429915987,1.0911544125503276,0.47865064370642046,3018.4 
68,56,12,111667.325134089,111667.281473054,18.409663202494965,13.438217727080698,18.41268920138424,3.2621209821173904,1.369948275610672,0.1771670040393746,3018.4 
68,56,12,111667.375473203,111667.326311972,19.87917675188321,20.704490156712755,19.865268185616838,20.699252631919094,0.9601384338091531,1.041982038123507,3018.4 
72,60,12,111667.637911563,111667.614370461,18.689511976826946,13.434178153630862,3.810418568521245,22.301022140603898,1.3911913153969693,5.852643676691541,3018.4 
74,60,14,111667.798095775,111667.793659507,22.24841107725198,23.24553293810257,6.242812493910271,3.4715365335576496,0.9571047967148917,0.5560853440567146,3018.4 
78,68,10,111668.010130578,111667.982033623,20.836337235769175,21.432882042060307,4.716206895519342,3.4715365335576496,0.9721668413459067,0.7360865650011669,3018.4 
86,-1,87,111668.484459858,111668.455922327,19.486551963950152,11.848612739641316,2.1082400816686246,2.7198864527417532,1.644627298751605,1.2901217828042735,3018.4 
88,76,12,111668.58412658,111668.558357942,20.835787182148906,18.623417332098242,10.03343924540356,2.7198864527417532,1.1187950530560011,0.2710821669636128,3018.4 
96,81,15,111669.067357451,111669.022237881,18.98754534834448,13.273536759503934,2.069404212368756,1.7351592136283476,1.4304812419153683,0.8384824981303132,3018.4 
97,82,15,111669.181135821,111669.152401592,19.606434933782882,13.669663184483422,8.789016752790285,2.1556841332341916,1.434302708792295,0.24527022690562258,3018.4 
100,85,15,111669.334664563,111669.334393543,18.134008037567078,11.971552048351262,6.513438376357663,2.1556841332341916,1.514758317411694,0.330959473119274,3018.4 
106,89,17,111669.695514927,111669.675812949,22.535796814504593,11.332402203725804,2.771231789481313,3.203525846637672,1.9886160418040404,1.155993467885727,3018.4 
106,89,17,111669.747966453,111669.730138611,19.065123734799265,11.716663426583318,19.065222243506458,2.9288858748387416,1.6271802850923764,0.15362453358424966,3018.4 
109,91,18,111669.962134234,111669.95516025,21.187830903091076,12.264887171430212,4.669236405834802,18.407773941782235,1.727519430626801,3.942352098253023,3018.4 
112,93,19,111670.122333377,111670.075690811,18.45818860885441,10.572987069107889,6.242230646364957,18.407773941782235,1.7457874948873693,2.9489096101409915,3018.4 
117,97,20,111670.447181276,111670.42434353,16.95312072386915,11.244613535026255,3.0783637606444545,2.89392679997369,1.5076659300972202,0.9400860408283417,3018.4 
117,97,20,111670.494377746,111670.478374798,21.170107847998583,10.626060833286836,21.188025292091716,2.868241369639368,1.9922818229763777,0.13537086774716656,3018.4 
