frame_id,fps,cps
11,8.39186265916717,0.7419336788659708
15,11.71625695443561,2.7899778705107825
19,11.414907588537234,2.830798115361076
24,10.681313681490412,2.334162814658896
27,11.442768831495552,3.525058889278485
31,9.830804191867305,2.2004051174669503
35,9.56567209343471,2.1797218933367746
56,10.62239095491183,1.595902004531815
60,9.333088047326223,2.4852844505847496
60,10.388011121545436,14.911545013202206
64,9.225679239036635,2.4048034390370563
69,10.613417650306578,1.9512000230389797
69,9.255938177211286,14.895660959498258
73,10.480113052716568,2.489829246712466
77,10.348130995089035,2.1361974876813288
81,10.354686640428078,2.4781350612195423
81,9.897654491464158,15.284919614046535
105,11.886941398509109,1.9114203064532458
110,13.221138225463699,2.0615910510758346
114,26.177667146220788,5.9457333747266965
118,20.988393397590094,4.794185381856379
