frame_id,frame_counter,fps,retry_status
1,1,49.230902555081876,0
2,2,7.130756249000759,0
3,3,6.592352483845182,0
4,4,7.874951131155684,0
5,5,8.570991866446194,0
6,6,8.960288449465585,0
7,7,8.997532372867825,0
8,8,8.877599817797606,0
9,9,12.270984016942151,0
10,10,9.863121669168883,0
11,11,10.732817802119428,0
12,12,9.36077075156164,0
13,13,9.1686687365351,0
14,14,10.050339739630953,0
15,15,9.68814688408442,0
16,16,10.621830419195275,0
17,17,8.576819004003063,0
18,18,10.788878129017004,0
19,19,10.655479834394434,0
20,20,10.502941879226986,0
21,21,10.53519251993673,0
22,22,10.823294106163406,0
23,23,10.746373695257404,0
24,24,10.35733832286091,0
24,25,11.407854113341035,1
25,25,14.719691805074277,0
26,26,12.162237485206305,0
27,27,10.33224586805316,0
28,28,9.879283259827755,0
28,29,11.568912117587216,1
29,29,15.40797933007242,0
30,30,10.432158095767516,0
31,31,10.146477800340518,0
32,32,10.08818465653978,0
33,33,9.778072179673703,0
34,34,10.837491661711255,0
34,35,10.38283409237898,1
35,35,15.906261980804004,0
36,36,9.59147187715415,0
37,37,11.477730614648209,0
38,38,10.37503188017782,0
39,39,10.834472125931462,0
40,40,10.251169963770979,0
41,41,10.046653948383106,0
41,42,10.142808717808999,1
42,42,14.529734113323958,0
43,43,10.600940272335475,0
44,44,9.874901488467723,0
44,45,11.033758944900622,1
44,45,13.153459077414055,1
45,45,15.636745151689446,0
46,46,10.642028583077284,0
47,47,9.670772289862958,0
53,48,10.001322273941803,1
54,54,16.4798901827009,0
55,55,9.7698318488343,0
56,56,10.520460212016067,0
56,57,10.851658565177843,1
57,57,13.874556084897119,0
58,58,11.000027335884344,0
59,59,10.978555543030165,0
60,60,10.161896696024446,0
61,61,11.167248498041944,0
62,62,10.573281191756093,0
63,63,10.387167650272174,0
63,64,11.136595478019588,1
64,64,14.304057605592886,0
65,65,10.31472824805011,0
66,66,11.051214633840122,0
67,67,11.051287299343345,0
68,68,10.369346478647119,0
68,69,10.763299859199178,1
68,69,15.248076835200456,1
69,69,16.08352651210957,0
70,70,10.270761406742164,0
71,71,9.835577471839986,0
72,72,10.874587503555105,0
73,73,9.89993384385103,0
74,74,11.006568885648425,0
75,75,10.63870033330407,0
76,76,10.937318934584976,0
76,77,10.609545215921994,1
77,77,15.901382675991359,0
78,78,10.337750755261181,0
79,79,10.523350641374998,0
80,80,10.776224836648712,0
80,81,10.93464214664223,1
81,81,15.045498413342354,0
82,82,10.861780391461812,0
-1,83,13.498821322249855,1
98,0,32.55265448108896,1
99,99,33.03943981472484,0
100,100,22.58076360134574,0
101,101,22.38764352483607,0
102,102,22.623782294452337,0
103,103,23.246881200785737,0
104,104,21.79568644831293,0
105,105,23.64127001774632,0
105,106,23.540886428441624,1
106,106,33.85199096754614,0
107,107,24.23708503502382,0
108,108,22.668926003888192,0
109,109,24.262345831305893,0
110,110,22.696006395365842,0
110,111,24.373129805708135,1
111,111,38.010973922532074,0
112,112,23.87981746234178,0
113,113,21.570081019680586,0
114,114,22.99698873055142,0
115,115,25.465354525280503,0
116,116,22.874762441228402,0
116,117,22.843451400936683,1
117,117,35.43066325718799,0
118,118,24.254327977339397,0
119,119,22.791302820510502,0
