Video,Metric,Mean,Std,Min,Max
4Mbit_Loss10_Kombat,psnr,11.647953,1.672704,6.193557,12.924676
4Mbit_Loss10_Kombat,ssim,0.261542,0.042092,0.179249,0.320680
4Mbit_Loss10_Kombat,mse,4914.497064,2922.658265,3315.986750,15621.570653
4Mbit_Loss10_Kombat,rmse,68.154081,16.417013,57.584605,124.986282
4Mbit_Loss10_Kombat,mae,54.754727,16.798360,43.158113,113.564850
4Mbit_Loss10_Kombat,nrmse,0.728799,0.027231,0.661798,0.761521
4Mbit_Loss10_Kombat,correlation,0.166983,0.078420,0.020609,0.355745
4Mbit_Loss10_Kombat,gms,0.521902,0.028424,0.450827,0.573202
4Mbit_Loss10_Kombat,edge_similarity,0.101744,0.026846,0.026234,0.139176
4Mbit_Loss10_Kombat,lpips,0.693702,0.048630,0.630120,0.852170
4Mbit_Loss10_Kombat,vmaf,9.022130,4.192942,0.000000,18.813785
