Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss10_Kombat,0,12.876208,0.311689,3353.200781,57.906828,43.388316,0.663648,0.099508,0.490110,0.026234,0.852170,0.000000
4Mbit_Loss10_Kombat,1,12.912048,0.320088,3325.642455,57.668383,43.226175,0.662639,0.099756,0.506349,0.054028,0.764103,2.369035
4Mbit_Loss10_Kombat,2,12.924676,0.318297,3315.986750,57.584605,43.158113,0.661798,0.101318,0.511613,0.057401,0.747530,2.850417
4Mbit_Loss10_Kombat,3,12.888268,0.314077,3343.902135,57.826483,43.384788,0.662933,0.092649,0.518323,0.057081,0.751865,5.883346
4Mbit_Loss10_Kombat,4,12.865173,0.320680,3361.731727,57.980443,43.410125,0.665025,0.095383,0.532162,0.077192,0.707766,6.192269
4Mbit_Loss10_Kombat,5,12.868386,0.302592,3359.245523,57.958999,43.461478,0.665226,0.079876,0.535575,0.068835,0.713094,8.386225
4Mbit_Loss10_Kombat,6,10.901466,0.306928,5283.647129,72.688700,56.601242,0.672468,0.043265,0.539788,0.080754,0.721021,9.343063
4Mbit_Loss10_Kombat,7,6.676669,0.244372,13976.983418,118.224293,104.906140,0.724464,0.020609,0.496988,0.068257,0.774734,15.422362
4Mbit_Loss10_Kombat,8,6.193557,0.264747,15621.570653,124.986282,113.564850,0.718200,0.231658,0.536099,0.072296,0.736420,18.813785
4Mbit_Loss10_Kombat,9,6.306004,0.264134,15222.290423,123.378647,111.843615,0.714513,0.235328,0.542267,0.072806,0.740904,14.131120
4Mbit_Loss10_Kombat,10,6.621010,0.251558,14157.265982,118.984310,106.924995,0.710989,0.243085,0.529906,0.074777,0.743725,14.722568
4Mbit_Loss10_Kombat,11,7.280604,0.262019,12162.419390,110.283360,97.480294,0.698172,0.254044,0.536619,0.075745,0.743939,13.334182
4Mbit_Loss10_Kombat,12,7.810716,0.277976,10764.869416,103.753889,90.925841,0.708618,0.312931,0.496408,0.100247,0.754563,14.351763
