frame_id,fps,cps
10,12.352151386876892,1.0700687284704964
14,11.050347461420825,3.126030232218692
18,13.72079711794251,3.3241093620078317
22,13.218154737041532,3.240709376362588
39,19.82388028216768,2.3581465157668746
43,16.153591708392643,5.794204615719757
47,16.626285852764127,3.85667802323545
51,13.645397760060044,3.1395736161827736
51,14.327361878122353,21.483165523413895
55,13.208895149928944,3.4464127907504882
55,12.6731968187041,20.64250328650785
59,15.42590626472939,3.3501827647793014
63,17.1546404204368,2.1312951286392936
67,16.01559970816148,5.693025322744518
71,17.801950451824467,5.201469750140296
71,11.605508077209294,16.949625693166567
75,18.881512450733506,9.090124696065722
80,11.80588494871047,2.075626656998184
80,12.539048006958211,17.786451555662897
84,17.821094918899107,2.2375400935084797
84,11.640991450734541,17.91032501212246
88,11.670277275235609,2.9685611590538445
96,20.72276701118903,1.777540219433191
112,15.13112847549816,1.8519857263959594
117,24.389443211329798,4.385665436827175
