frame_id,frame_timestamp,cmd_timestamp
9,1701.77578221,1701.900689032
12,1702.150827091,1702.279898866
16,1702.646493115,1702.768647175
21,1703.270302366,1703.38094614
24,1703.627571639,1703.739726216
29,1704.298684544,1704.427309299
58,1705.305421768,1705.420051331
62,1705.867269723,1705.992581703
66,1706.347337983,1706.460824248
70,1706.821869725,1706.94769063
74,1707.308761584,1707.426798162
78,1707.865407251,1707.986774248
82,1708.343291834,1708.457360299
103,1708.541474345,1708.620632938
107,1708.941658324,1708.996949906
111,1709.167102421,1709.224478437
111,1709.224858719,1709.261928184
115,1709.429852021,1709.485755648
119,1709.727772921,1709.782395423
