frame_id,frame_counter,fps,retry_status
1,1,70.60937657218692,0
2,2,6.091407873661123,0
3,3,7.198016934808932,0
4,4,7.706985290090339,0
5,5,6.987565243328749,0
6,6,7.786786873896651,0
7,7,8.01546600195991,0
8,8,7.757829845775177,0
9,9,9.411594278524452,0
10,10,8.022444553581835,0
11,11,7.7915363843780066,0
12,12,11.296644437944517,0
13,13,10.529411547349332,0
14,14,9.379977661014022,0
15,15,11.299981640907923,0
16,16,10.408424062176719,0
17,17,10.624326656714382,0
18,18,11.406686885068032,0
19,19,11.268514352182464,0
20,20,9.725025014963222,0
21,21,10.758186299319702,0
22,22,10.590480500854463,0
23,23,10.123694641991879,0
24,24,10.324896832560079,0
25,25,10.52822184094402,0
26,26,9.696722777264577,0
27,27,9.86113869901184,0
27,28,10.247685849681105,1
28,28,14.500148909250719,0
29,29,10.170075701447777,0
-1,30,8.322848901879212,1
39,0,16.528579748976174,1
40,40,16.000754979671786,0
-1,41,9.472459411558011,1
-1,0,14.745215866804074,1
47,0,13.904566674035298,1
47,48,16.329956837111958,1
47,48,15.291675872268872,1
48,48,13.754245712126947,0
49,49,10.514377101646208,0
50,50,8.94035969196714,0
51,51,8.940871353348024,0
52,52,9.698069704924775,0
52,53,9.307630497864997,1
53,53,16.02823893606306,0
54,54,9.976201571620447,0
55,55,8.992008684971287,0
56,56,9.758839842586312,0
57,57,10.177473769870177,0
58,58,9.257727105434448,0
59,59,9.445178324274876,0
59,60,10.32026294051135,1
60,60,13.869939661680954,0
61,61,9.607556950736027,0
62,62,9.35435826384158,0
63,63,9.813063495521828,0
64,64,9.05608998914257,0
65,65,9.668364089759562,0
65,66,10.142490633850874,1
65,66,13.693158500882396,1
66,66,15.668194519339837,0
67,67,9.186346799429895,0
68,68,9.08578701976984,0
69,69,10.232323785992548,0
70,70,9.042117005518659,0
70,71,9.297679941554915,1
-1,71,18.24077235814805,1
-1,0,13.731550306200381,1
-1,0,14.94982122404971,1
-1,0,12.827358518628696,1
83,0,15.816996340030924,1
84,84,14.82999809638297,0
85,85,10.657630928245023,0
86,86,10.201797575112346,0
87,87,9.838983751798722,0
88,88,10.620631243174346,0
-1,89,9.596274096875346,1
92,0,16.776844679578403,1
92,93,14.818267361347056,1
93,93,17.711672149600478,0
94,94,9.845960538110752,0
95,95,10.99615159985108,0
96,96,9.724037456919126,0
97,97,11.014639149366332,0
98,98,9.479475821006966,0
99,99,11.234230412462958,0
100,100,10.71104271659958,0
101,101,11.26986455907966,0
102,102,11.44001667496884,0
102,103,24.074676565061424,1
103,103,39.807568621168414,0
104,104,25.127044220049868,0
105,105,24.212032125961656,0
106,106,24.115911876399903,0
107,107,23.99142105164899,0
108,108,25.725882133396812,0
109,109,22.732545127787915,0
110,110,26.185838117586147,0
111,111,24.13435440613697,0
111,112,23.426028566828766,1
112,112,36.12261315308843,0
-1,113,23.916518912297157,1
116,0,36.41567900408567,1
