frame_id,received_fame_id,my_gap,received_time,send_time,current_srv_fps,received_fps,current_cps,received_cps,current_srv_fps/received_fps,received_cps/current_cps,bitrate
8,1,7,1492.243962507,1492.218934592,15.408134360856058,74.763454038878,2.8201126031476096,0.0,0.20609179389763913,0.0,1400 
24,10,14,1493.2683354,1493.234263636,14.441880737828017,11.092430472200844,0.9762070109756757,0.0,1.3019581933843405,0.0,980.0 
25,11,14,1493.392758473,1493.392445627,15.22909817699331,9.644164936392153,8.03709453471618,0.9034793642631478,1.5790997227273116,0.11241367889360691,980.0 
28,13,15,1493.573675675,1493.537096314,17.843215908481337,10.875707864472341,5.527390369434,0.9034793642631478,1.6406486943962282,0.16345495864726906,980.0 
34,17,17,1494.021636604,1493.962507366,14.090231843946126,9.83486794483461,2.232337543884728,3.302268900789022,1.4326813458991572,1.479287444604991,980.0 
40,21,19,1494.453915736,1494.425925869,16.72223241530282,10.291397207010789,2.313320088742623,2.350857580973887,1.6248748424471622,1.0162266745591904,980.0 
41,22,19,1494.520110461,1494.458541758,15.105583877315551,10.291397207010789,15.106943944537916,2.350857580973887,1.467787470784356,0.15561437108687134,980.0 
44,25,19,1494.776171181,1494.757754711,14.569944555951905,10.604611759007858,3.905323706032706,2.015844001670775,1.373925315424752,0.5161784664756015,980.0 
44,25,19,1494.831313928,1494.82812106,18.117121939352785,9.272561263537487,18.134751248431044,3.3424212206519797,1.9538422475130774,0.18431028773781247,980.0 
52,29,23,1495.395925235,1495.360570354,16.641414983557812,13.797691132992558,1.7711299571974182,14.211097497198459,1.2061014283589404,8.023746331796943,980.0 
53,30,23,1495.449360157,1495.401298242,18.708990244228065,13.797691132992558,18.71435313409669,14.211097497198459,1.3559507937883737,0.7593688862965022,980.0 
58,34,24,1495.833141033,1495.805012639,14.097502358207548,9.63042372583535,2.6056535448632943,1.7446777271257277,1.4638506839931096,0.6695739464539068,980.0 
64,38,26,1496.270740264,1496.2628823,15.38610310245431,10.456411158728242,2.285195971927242,2.477001597492158,1.4714516165148235,1.0839339942487098,980.0 
64,38,26,1496.338905009,1496.325852946,14.675178642013684,9.988594523326968,14.670340217686048,2.183795167612406,1.4691935494770412,0.1488578407322619,980.0 
69,42,27,1496.654613043,1496.646123532,15.757150792040136,10.254956051069497,3.1674835363871234,2.183795167612406,1.536540060588247,0.6894416790255125,980.0 
69,42,27,1496.720109955,1496.716971413,15.25903679828584,10.682382131480542,15.267895378012767,2.6096560714183332,1.4284301582245484,0.17092441406013878,980.0 
76,45,31,1497.213248589,1497.210855418,17.467417327763904,16.006274203359638,2.0278273310059394,14.113354141764384,1.0912856487300198,6.9598401826269924,980.0 
77,46,31,1497.273075169,1497.244208909,16.723249502642297,16.006274203359638,16.714978526221625,14.113354141764384,1.0447933910273866,0.8443537106328948,980.0 
83,59,24,1497.71514452,1497.672136507,15.871329229374709,10.732540193602048,2.262088511085872,1.8967006488217182,1.4788045460883557,0.8384732248656546,980.0 
83,59,24,1497.77914537,1497.736410774,15.6270456779475,9.917083660203721,15.624792483235403,2.3368288733510094,1.5757702781773733,0.14955903419890576,980.0 
87,62,25,1498.088126538,1498.078788006,16.621936205245472,9.917963957838447,3.236443199669178,15.56100367040433,1.6759423885694489,4.80805708933651,980.0 
88,63,25,1498.149141003,1498.106480258,16.393833924931027,9.917963957838447,16.389556148701356,15.56100367040433,1.652943486649245,0.9494463138123068,980.0 
94,67,27,1498.583357589,1498.545861175,15.332264429151186,11.043088386077072,2.3029981632263437,2.702006154726563,1.388403668712987,1.1732558878558705,980.0 
100,69,31,1499.026433459,1498.978613642,15.553378635557603,14.62245287291414,2.2569498086184043,2.2759615226766448,1.0636641315061348,1.0084236317465467,980.0 
101,71,30,1499.090131881,1499.068519813,15.696757727932232,14.129337839160788,15.698976028005076,2.2759615226766448,1.1109337115874738,0.14497515752725557,980.0 
106,75,31,1499.465918062,1499.449893933,14.128618779028379,10.369370670858379,2.6610877423406065,1.883497884529448,1.3625338728351977,0.7077924769488376,980.0 
112,78,34,1499.902127128,1499.861900841,14.184164784275964,13.945346430222745,2.2924787170737093,2.6803346795617866,1.0171253080909948,1.1691862871395227,980.0 
113,79,34,1499.958845859,1499.891835377,17.624441688493576,13.945346430222745,17.630859900641855,2.6803346795617866,1.2638224354396383,0.1520251816795509,980.0 
117,83,34,1500.274133871,1500.259706997,15.6242573594698,10.883539919252001,3.171703210839653,2.2627545420661948,1.4355859835485967,0.7134193812122699,980.0 
