frame_id,fps,cps
11,11.410949661442034,0.8400386887546095
15,13.679179842268564,3.2505761564403954
19,13.981355750252789,3.707483263281401
24,13.561334629523147,2.83671831508105
27,18.95471602547021,3.408267583978849
31,17.88004591747319,2.5798733031459884
35,17.74973162173021,2.624647997902187
39,11.248554575879872,3.013798737857545
39,12.49217396444091,20.286641724790734
44,18.86506949544542,2.215585229883256
48,12.053269229116069,3.773704866788763
48,11.520361058106952,16.727445560330537
52,13.108911390925028,3.112189595529858
56,12.499569234680607,2.6513545989556397
60,12.840159579929143,2.301509839645641
64,12.437028061854935,3.072279926155074
69,17.609911337019135,1.9881771771857513
73,12.26786621043027,3.1272990728879013
73,13.184419011774688,16.906999668811693
77,13.006325012848485,3.1393999763863425
81,12.084546580212306,2.686785943114987
85,12.909780809908694,3.181107064125142
85,11.972677630777198,17.81085752829127
89,12.10204966176059,3.2149522336118954
93,28.049359470447964,5.9159904977229365
110,29.03474596719402,5.361699324781457
114,41.43055051310204,11.910867074983496
118,27.237402839214166,6.5873579510503575
118,24.840795347103153,39.18020130581524
118,38.74124277460243,41.28076716473511
