frame_id,fps,cps
11,11.968094211147443,0.8986779860937325
15,13.723695620768574,3.3787942782291065
19,14.485015055933511,3.572579222683446
24,13.644630298828854,2.7794567240026664
27,12.245181898170134,4.436746944834114
31,14.815724608291735,3.2356307974828598
35,12.820303914976314,3.144781758221215
39,12.576168665883719,3.243897342813557
44,13.242503354878975,2.5281027056955314
48,14.144034300983465,3.2692905362040308
52,12.737660219250236,3.233982878411588
56,13.766021980919541,3.16406456943246
60,12.65630713322379,3.1492711671137026
64,12.68707552832401,2.729433125737772
69,13.405036337225003,2.1767654958861096
77,21.506095064965862,3.7672216845004383
81,17.867523569461344,2.6498549200247976
85,17.98520749126959,2.761146723846722
89,12.9926193874762,3.1445351494569036
93,12.524250706770381,2.845004563816613
97,29.222448790438722,6.933263882754877
97,27.685989488179857,42.02339273328663
101,32.299934603368,7.184921315724729
101,27.41557388369067,45.74003395445955
105,31.212636535028167,7.581815446616711
118,45.51485472776364,10.489083408203552
