Video,Metric,Mean,Std,Min,Max
4Mbit_Loss5_Forza,psnr,11.444150,0.081921,11.367783,11.624484
4Mbit_Loss5_Forza,ssim,0.277768,0.007990,0.271134,0.296590
4Mbit_Loss5_Forza,mse,4663.821679,86.884347,4473.340296,4745.718952
4Mbit_Loss5_Forza,rmse,68.289179,0.640071,66.883034,68.889179
4Mbit_Loss5_Forza,mae,44.998355,0.707984,43.381297,45.540688
4Mbit_Loss5_Forza,nrmse,0.965990,0.002764,0.960171,0.969971
4Mbit_Loss5_Forza,correlation,-0.023889,0.019842,-0.046692,0.011746
4Mbit_Loss5_Forza,gms,0.425757,0.006687,0.411698,0.431725
4Mbit_Loss5_Forza,edge_similarity,0.034254,0.003944,0.029262,0.041748
4Mbit_Loss5_Forza,lpips,0.693603,0.022480,0.675990,0.747147
4Mbit_Loss5_Forza,vmaf,1.921755,4.419659,0.000000,21.283451
