frame_id,received_fame_id,my_gap,received_time,send_time,current_srv_fps,received_fps,current_cps,received_cps,current_srv_fps/received_fps,received_cps/current_cps,bitrate
5,1,4,2188.868392254,2188.858105323,18.780022683311884,52.35579342767081,5.33257127334961,0.0,0.3586999919933668,0.0,7000 
22,11,11,2189.712696816,2189.699108651,23.226666647620227,12.341044569220385,1.1844067236010138,0.0,1.8820665072022762,0.0,7700.0 
22,11,11,2189.759707152,2189.750590881,21.263430514232915,12.773200231815071,21.271917733220018,1.1035832813907616,1.6646909254010327,0.05187982086200498,5390.0 
28,15,13,2190.056482742,2190.023709645,25.39900503484485,11.995445473331054,3.3695493621973887,1.1035832813907616,2.1173873943500756,0.3275165794487962,3773.0 
33,19,14,2190.349073801,2190.336684839,21.76907142633898,12.65930036325434,3.4177394326986548,3.080851408938776,1.7196109422861328,0.9014295763636168,3773.0 
36,21,15,2190.544127503,2190.534043802,24.397088773500744,15.853854602310808,5.126793235645372,3.1949348270060165,1.5388742602663141,0.6231838656555126,3773.0 
39,23,16,2190.679124406,2190.635442328,23.319880172315578,13.282511433882773,7.407577342706206,3.1949348270060165,1.7556830489773319,0.43130630693338295,3773.0 
39,23,16,2190.723078436,2190.688514737,22.751735496717195,12.805890791739937,22.751042395939177,3.3047607027690202,1.7766616838082465,0.14525755107198454,3773.0 
47,31,16,2191.14313776,2191.111426557,20.947867544633638,13.061409418027829,2.3806161245915045,20.24700126733642,1.6037984013976803,8.504941665389522,3773.0 
48,33,15,2191.236616698,2191.203990187,22.269506818795808,18.223730774506798,10.697596928213677,2.365523311475342,1.2220059160415524,0.22112660697063163,3773.0 
56,44,12,2191.611427812,2191.595181186,26.1205179801377,15.57387947063939,2.668010532901185,2.365523311475342,1.6772004707870847,0.8866244275666635,3773.0 
58,48,10,2191.765117516,2191.764230003,20.441362123313663,15.641527962638445,6.506616734714472,2.0671334325609387,1.306864787899249,0.3176971253788856,3773.0 
63,52,11,2192.012992195,2191.975052198,23.897252329909787,16.023894318399734,4.034296702000202,2.0671334325609387,1.4913510945007498,0.5123900360466931,3773.0 
67,56,11,2192.291242548,2192.250480075,20.15697323524259,13.379971632837776,3.5938858269872673,2.6322872127324226,1.5065034357600853,0.7324348461395205,3773.0 
69,57,12,2192.460467021,2192.422046047,17.812138897893607,19.967503287748762,5.909310764990481,3.630847164839022,0.8920563898853795,0.6144281980142012,3773.0 
72,60,12,2192.619742276,2192.589705995,18.51844478764358,13.754597973018807,6.278439171231768,3.630847164839022,1.3463457691725775,0.5783041080458037,3773.0 
77,64,13,2192.93469493,2192.916430012,17.513836018003474,13.516504862163208,3.1750804043065592,2.9480424354105663,1.2957370412398554,0.9284937891374193,3773.0 
77,64,13,2192.998238717,2192.967603155,15.7360970912869,11.420435771130302,15.737179781337739,3.0603769184066225,1.3778893736319722,0.1944679390417738,3773.0 
79,69,10,2193.169757455,2193.157340519,14.169619757052429,19.084924804525105,5.830266778197819,19.555396331181054,0.7424509083574047,3.3541168998146222,3773.0 
91,79,12,2193.807473983,2193.781189109,20.647729175077455,11.54208579781313,1.5680948447989937,19.555396331181054,1.788907961417993,12.470799451985803,3773.0 
93,81,12,2193.930141261,2193.90301511,16.977547058169357,11.197465968631008,8.152133285300193,19.555396331181054,1.516195459377227,2.3988072381548347,3773.0 
98,85,13,2194.253188779,2194.23862807,16.23983270762131,10.924918573550965,3.0955198361842533,1.0690237848620063,1.4864946222059412,0.3453454803829515,3773.0 
104,89,15,2194.640142954,2194.589301556,18.18308504698043,13.094958642539307,2.5842853355954296,2.9796575205462204,1.3885561263181248,1.1529909176455917,3773.0 
104,89,15,2194.698139474,2194.645696039,17.242145099424764,11.23804482745129,17.242413855187856,2.85137321749233,1.5342655563454592,0.16536972383564588,3773.0 
109,93,16,2194.964519337,2194.925448326,17.610537779440453,10.894206254153076,3.7540375189681026,2.85137321749233,1.616504898897704,0.7595484070377928,3773.0 
115,97,18,2195.336202966,2195.327126184,17.924834393777644,11.722775582837393,2.69046017089968,2.9751981767628184,1.5290606108693499,1.1058324553334395,3773.0 
117,98,19,2195.497132278,2195.468864332,21.27413337699624,10.214139954852062,6.213908377362314,2.489491104972835,2.082812010705836,0.4006320907534167,3773.0 
