Video,Metric,Mean,Std,Min,Max
4Mbit_Loss1_Fortnite,psnr,15.645213,1.097656,13.322522,18.640925
4Mbit_Loss1_Fortnite,ssim,0.680775,0.092538,0.525274,0.915658
4Mbit_Loss1_Fortnite,mse,1829.061779,462.175919,889.176296,3025.716063
4Mbit_Loss1_Fortnite,rmse,42.434457,5.327163,29.819059,55.006509
4Mbit_Loss1_Fortnite,mae,22.765146,5.931874,7.252388,36.159424
4Mbit_Loss1_Fortnite,nrmse,0.531570,0.103890,0.429529,0.856420
4Mbit_Loss1_Fortnite,correlation,0.607765,0.094143,0.335293,0.721950
4Mbit_Loss1_Fortnite,gms,0.502982,0.035855,0.432848,0.623512
4Mbit_Loss1_Fortnite,edge_similarity,0.155983,0.070090,0.075510,0.452962
4Mbit_Loss1_Fortnite,lpips,0.511373,0.087564,0.204114,0.665479
4Mbit_Loss1_Fortnite,vmaf,5.638519,12.229771,0.000000,82.781173
