Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Fortnite,41,14.701245,0.620455,2202.702772,46.932960,27.743047,0.526396,0.613171,0.476989,0.114046,0.582544,3.828884
4Mbit_Loss1_Fortnite,42,14.749465,0.623931,2178.381295,46.673132,27.549268,0.518965,0.623743,0.483184,0.114745,0.578079,0.000000
4Mbit_Loss1_Fortnite,43,14.817475,0.630611,2144.533577,46.309109,27.250082,0.512732,0.628533,0.476859,0.118906,0.583659,0.000000
4Mbit_Loss1_Fortnite,44,14.942884,0.636748,2083.492540,45.645290,26.774272,0.506839,0.631790,0.479942,0.121495,0.573570,0.000000
4Mbit_Loss1_Fortnite,45,15.088163,0.639738,2014.949121,44.888185,26.354909,0.500137,0.637664,0.479009,0.124600,0.572443,0.000000
4Mbit_Loss1_Fortnite,46,15.236135,0.640845,1947.452431,44.129949,25.836130,0.492186,0.644174,0.487813,0.126561,0.560131,1.334045
4Mbit_Loss1_Fortnite,47,15.416540,0.647045,1868.212838,43.222828,25.225991,0.481038,0.654934,0.489857,0.127324,0.555857,0.696852
4Mbit_Loss1_Fortnite,48,15.494516,0.648014,1834.969222,42.836541,24.919719,0.473524,0.660645,0.491614,0.131848,0.543054,0.000000
4Mbit_Loss1_Fortnite,49,15.634865,0.653202,1776.617076,42.149936,24.404509,0.462386,0.670605,0.489023,0.130961,0.545504,0.483499
4Mbit_Loss1_Fortnite,50,15.094397,0.581946,2012.058769,44.855978,26.285806,0.488389,0.624426,0.484212,0.088894,0.543165,5.298299
4Mbit_Loss1_Fortnite,51,15.233476,0.586959,1948.645234,44.143462,25.906074,0.476291,0.634303,0.482895,0.091954,0.568641,3.445197
4Mbit_Loss1_Fortnite,52,15.270457,0.592866,1932.122445,43.955915,25.728573,0.469728,0.636899,0.485451,0.097147,0.565084,2.420318
4Mbit_Loss1_Fortnite,53,15.376017,0.592281,1885.726392,43.424951,25.556696,0.459815,0.643780,0.481011,0.095864,0.568918,0.084068
4Mbit_Loss1_Fortnite,54,15.557964,0.600242,1808.356022,42.524770,25.064049,0.446315,0.657900,0.490244,0.101722,0.559937,4.231055
