# Frame ID, Current Server FPS, Processing Time, Bitrate
1,20.206386006046618,0.017161983998448704,5000
2,17.883748125932854,0.016458866999528254,5000
3,19.601555649775552,0.012127549000069848,5000
4,17.864144325780664,0.012614605000635493,5000
5,20.12699651768516,0.008585460998801864,5000
6,17.150085855054783,0.012623962998986826,5000
7,20.535384160978314,0.008844232999763335,5000
8,17.45071112071372,0.011524617999384645,5000
9,18.863991563898345,0.012708992000625585,5000
10,17.85434705795692,0.012401764999594889,5000
11,21.746474124574743,0.012724784999591066,5000
12,21.73033201220859,0.012355909999314463,5000
13,23.814798220016808,0.012370943999485462,5000
14,22.729663474759015,0.013153787000192096,5000
15,24.336552125797166,0.008660463001433527,5000
16,22.84613389332656,0.008680212000399479,5000
17,20.772555864113304,0.012733432000459288,5000
18,22.733029867122145,0.011872970999320387,5000
19,22.698099994351807,0.011770703000365756,5000
20,21.763289578647008,0.012131927000154974,5000
21,23.50742651252586,0.008532482001101016,5000
22,19.813989830448868,0.012311991000387934,5000
23,20.829536282444977,0.012382183000227087,5000
24,20.830124626307345,0.011701457999151899,5000
25,20.845329385941067,0.012898783999844454,5000
26,18.866247923971198,0.013608747000034782,5000
27,18.51945992454953,0.012449623000065912,5000
28,19.227507210196283,0.012620187999345944,5000
29,19.612772096092527,0.012463142998967669,5000
30,19.81981135583286,0.009646181000789511,5000
31,17.375133688723647,0.012427937999746064,5000
32,19.643655447140777,0.00917429000037373,5000
33,17.51560145246092,0.013006399000005331,5000
34,18.520804809413484,0.012184350000097766,5000
35,18.51822565584544,0.013231099999757134,5000
36,20.443404775159575,0.009320813998783706,5000
37,20.441997691386813,0.009242275000360678,5000
38,19.17038142314071,0.012159032001363812,5000
39,20.82970245623345,0.012443186000382411,5000
40,20.411359933749278,0.01251598100134288,5000
41,20.82849114366224,0.012134474998674705,5000
42,20.003643863363795,0.01183970199963369,5000
43,19.98778027074016,0.012020047000987688,5000
44,19.234078972000116,0.012106055999538512,5000
45,18.872430410079993,0.012961679000000004,5000
46,20.428555132529798,0.008534409998901538,5000
47,18.162791831827228,0.01206056099908892,5000
48,19.236044345515822,0.012393159000566811,5000
49,21.73912098296017,0.012358889000097406,5000
50,20.410303015507303,0.01216288599971449,5000
51,19.230714866533674,0.01260735600044427,5000
52,19.60646222732932,0.011784460999479052,5000
53,19.608551352047094,0.01188848399942799,5000
54,16.392638040064554,0.015005605999249383,5000
55,20.509153686272725,0.008530092000000877,5000
56,18.8605710408858,0.009115431999816792,5000
57,17.787432637925033,0.012265686000318965,5000
58,18.868197227223973,0.012792281000656658,5000
59,20.58333585522552,0.008893016000001808,5000
60,17.4168122537787,0.012675986999965971,5000
61,21.735136367002628,0.012856916999226087,5000
62,22.42179664154176,0.008631403999970644,5000
63,19.804843076256407,0.00913123799909954,5000
64,18.493469114258893,0.009115279999605264,5000
65,17.912235776810785,0.012769379000019399,5000
66,19.60897238299453,0.011864720001540263,5000
67,19.98621231207495,0.012155630998677225,5000
68,21.180351326884576,0.008769770998696913,5000
69,17.58462543820442,0.008760902001085924,5000
70,19.932126723459323,0.008571201000449946,5000
71,18.617089110266672,0.012010956999802147,5000
72,21.099838358217795,0.008616028000687947,5000
73,19.760808455644188,0.012973912000234122,5000
74,20.407551871746715,0.012465779000194743,5000
75,21.479945013369512,0.00883024599897908,5000
76,18.367937486846788,0.012628280999706476,5000
77,20.594256751572114,0.008702717999767628,5000
78,19.746510880805573,0.008649715999126784,5000
79,19.373332742554954,0.008952427000622265,5000
80,18.444170749637802,0.011772554998970008,5000
81,20.79373167144889,0.008884846998626017,5000
82,20.154644978124036,0.008782169999904,5000
83,19.803856270643642,0.008831733999613789,5000
84,18.94738952245932,0.011907824000445544,5000
85,23.03963732255592,0.009070186000826652,5000
86,21.554562000530165,0.00848297700031253,5000
87,21.199771381630597,0.008727032000024337,5000
88,20.706293750484733,0.008766794000621303,5000
89,20.333259686607928,0.008785187999819755,5000
90,19.916671434598552,0.008855838001181837,5000
91,20.13204041598296,0.00900972800081945,5000
92,20.519880615106345,0.008724960000108695,5000
93,19.25297494510864,0.012016032000246923,5000
94,20.003693882090705,0.011948966001000372,5000
95,20.406838903108046,0.012282719000722864,5000
96,22.27590418161041,0.009050962000401341,5000
97,23.104158792878362,0.00855355799831159,5000
98,20.903889622237745,0.011995969998679357,5000
99,21.746353533183495,0.01291967100041802,5000
100,22.716833825718865,0.01151413300067361,5000
