Video,Metric,Mean,Std,Min,Max
4Mbit_Loss10_Fortnite,psnr,11.850145,0.800218,10.909264,13.399255
4Mbit_Loss10_Fortnite,ssim,0.424185,0.052237,0.357564,0.537536
4Mbit_Loss10_Fortnite,mse,4316.866286,752.361446,2972.726051,5274.168191
4Mbit_Loss10_Fortnite,rmse,65.440048,5.870812,54.522711,72.623469
4Mbit_Loss10_Fortnite,mae,50.939340,6.291232,40.182386,58.310415
4Mbit_Loss10_Fortnite,nrmse,0.818126,0.088506,0.660982,1.008668
4Mbit_Loss10_Fortnite,correlation,0.150035,0.103108,-0.149915,0.309655
4Mbit_Loss10_Fortnite,gms,0.413026,0.024000,0.373230,0.462744
4Mbit_Loss10_Fortnite,edge_similarity,0.052056,0.007507,0.041170,0.075565
4Mbit_Loss10_Fortnite,lpips,0.813064,0.024815,0.748012,0.856902
4Mbit_Loss10_Fortnite,vmaf,0.051862,0.208835,0.000000,1.192156
