Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss10_Fortnite,0,12.845443,0.438315,3377.038509,58.112292,41.052374,0.957894,0.157686,0.453073,0.064179,0.814482,0.000000
4Mbit_Loss10_Fortnite,1,12.881810,0.440084,3348.877894,57.869490,40.824469,0.944262,0.187014,0.458174,0.072305,0.756353,0.000000
4Mbit_Loss10_Fortnite,2,12.441239,0.406728,3706.435692,60.880503,42.809118,0.979389,0.151711,0.444628,0.052689,0.758738,0.000000
4Mbit_Loss10_Fortnite,3,12.437371,0.404998,3709.738416,60.907622,42.771528,0.991856,0.154541,0.442628,0.052705,0.755520,0.000000
4Mbit_Loss10_Fortnite,4,12.600725,0.409921,3572.793103,59.772846,42.144606,0.939589,0.225696,0.451953,0.057103,0.748012,0.000000
4Mbit_Loss10_Fortnite,5,12.383991,0.407996,3755.616789,61.283087,43.165421,0.956670,0.201027,0.451639,0.056011,0.761148,0.000000
4Mbit_Loss10_Fortnite,6,12.136363,0.390951,3975.978667,63.055362,46.138238,1.008668,0.170017,0.462744,0.052126,0.778917,0.000000
4Mbit_Loss10_Fortnite,7,12.552938,0.391223,3612.323037,60.102604,44.054283,0.927435,0.158400,0.406605,0.046929,0.791148,1.068854
4Mbit_Loss10_Fortnite,8,13.259350,0.474828,3070.049172,55.408024,40.182386,0.690711,0.140515,0.416362,0.045825,0.826739,0.000000
4Mbit_Loss10_Fortnite,9,13.275631,0.492344,3058.561612,55.304264,40.424905,0.706627,0.137889,0.427676,0.048371,0.832836,0.367996
4Mbit_Loss10_Fortnite,10,13.097002,0.500686,3186.985966,56.453396,43.345024,0.789019,0.194202,0.392192,0.057229,0.833890,0.000000
4Mbit_Loss10_Fortnite,11,13.242257,0.513816,3082.156199,55.517170,42.200880,0.770461,0.164654,0.383998,0.057489,0.816266,0.000000
4Mbit_Loss10_Fortnite,12,13.399255,0.532478,2972.726051,54.522711,41.153350,0.756542,0.147441,0.397859,0.054823,0.816332,0.000000
4Mbit_Loss10_Fortnite,13,13.310120,0.519719,3034.368921,55.085106,40.984341,0.780962,0.108857,0.382754,0.047152,0.823692,0.000000
4Mbit_Loss10_Fortnite,14,13.258363,0.537536,3070.747481,55.414326,41.234507,0.754821,0.077154,0.374369,0.042854,0.829887,0.000000
4Mbit_Loss10_Fortnite,15,12.993387,0.504422,3263.936312,57.130870,42.581680,0.806011,0.074633,0.382379,0.041347,0.849561,0.000000
4Mbit_Loss10_Fortnite,16,13.053048,0.505282,3219.404271,56.739794,42.712577,0.800665,0.085186,0.384101,0.043065,0.837321,0.000000
4Mbit_Loss10_Fortnite,17,12.882883,0.477071,3348.051134,57.862346,43.859895,0.816523,0.096129,0.373230,0.041170,0.856902,0.000000
4Mbit_Loss10_Fortnite,18,12.894727,0.473737,3338.932726,57.783499,43.767693,0.813486,0.105176,0.374513,0.042581,0.852112,0.000000
4Mbit_Loss10_Fortnite,19,12.808998,0.468106,3405.497839,58.356643,44.266662,0.820655,0.124787,0.382817,0.043189,0.849138,0.000000
4Mbit_Loss10_Fortnite,20,12.511901,0.450035,3646.618251,60.387236,45.607823,0.839581,0.142064,0.379247,0.045559,0.839419,0.000000
4Mbit_Loss10_Fortnite,21,12.423087,0.444823,3721.959414,61.007864,45.883568,0.833309,0.167261,0.385693,0.046887,0.831926,0.000000
4Mbit_Loss10_Fortnite,22,12.258640,0.434148,3865.594772,62.173907,46.820803,0.845682,0.167311,0.391795,0.050452,0.826263,0.000000
4Mbit_Loss10_Fortnite,23,12.261803,0.428252,3862.781106,62.151276,46.750723,0.847009,0.157739,0.389120,0.048824,0.825784,0.000000
4Mbit_Loss10_Fortnite,24,11.382412,0.395182,4729.760923,68.773257,53.800209,0.917273,0.107566,0.397276,0.047810,0.813465,0.000000
4Mbit_Loss10_Fortnite,25,11.377998,0.393826,4734.569939,68.808211,53.870210,0.903181,0.110884,0.415577,0.045667,0.805649,0.000000
4Mbit_Loss10_Fortnite,26,11.315645,0.386860,4803.036473,69.303943,54.365745,0.895563,0.124869,0.406706,0.044592,0.798900,0.000000
4Mbit_Loss10_Fortnite,27,11.297938,0.376667,4822.659404,69.445370,54.589311,0.901001,0.128824,0.404459,0.046434,0.811218,0.000000
4Mbit_Loss10_Fortnite,28,11.203592,0.375734,4928.572063,70.203790,55.270525,0.899264,0.120053,0.410404,0.047775,0.803767,0.000000
4Mbit_Loss10_Fortnite,29,11.171721,0.369804,4964.874425,70.461865,55.797953,0.903814,0.123645,0.405658,0.044372,0.810190,0.351211
4Mbit_Loss10_Fortnite,30,11.160265,0.367588,4977.988664,70.554863,56.179814,0.906376,0.131855,0.409728,0.045226,0.803750,0.000000
4Mbit_Loss10_Fortnite,31,11.050794,0.360528,5105.061356,71.449712,56.936112,0.916101,0.127341,0.406871,0.046603,0.818676,0.000000
4Mbit_Loss10_Fortnite,32,10.990009,0.357564,5177.015421,71.951480,57.477152,0.909237,0.131154,0.402728,0.046230,0.822048,0.000000
4Mbit_Loss10_Fortnite,33,10.977893,0.361163,5191.478262,72.051914,57.613628,0.906286,0.125226,0.403227,0.045971,0.822146,0.000000
4Mbit_Loss10_Fortnite,34,10.927963,0.360437,5251.508383,72.467292,57.806909,0.911878,0.120824,0.395276,0.046633,0.818697,0.000000
4Mbit_Loss10_Fortnite,35,10.909264,0.359456,5274.168191,72.623469,58.005781,0.908424,0.121039,0.401092,0.046429,0.826635,0.000000
4Mbit_Loss10_Fortnite,36,10.973468,0.363914,5196.770285,72.088628,57.706261,0.894271,0.139161,0.410224,0.045698,0.819482,0.000000
4Mbit_Loss10_Fortnite,37,11.061513,0.370339,5092.476800,71.361592,56.985369,0.872277,0.160746,0.413792,0.046748,0.827284,0.000000
4Mbit_Loss10_Fortnite,38,11.135801,0.374812,5006.108879,70.753861,56.323815,0.847402,0.201364,0.408743,0.048070,0.827429,0.000000
4Mbit_Loss10_Fortnite,39,11.330285,0.381293,4786.872431,69.187227,55.200517,0.807965,0.260276,0.410635,0.048621,0.828816,0.000000
4Mbit_Loss10_Fortnite,40,11.496143,0.387224,4607.507700,67.878625,54.630607,0.775296,0.309655,0.423104,0.049772,0.819143,0.000000
4Mbit_Loss10_Fortnite,41,11.334916,0.377388,4781.770877,69.150350,55.729564,0.775584,0.298650,0.425352,0.050270,0.826987,0.000000
4Mbit_Loss10_Fortnite,42,11.325183,0.381404,4792.498881,69.227876,55.792735,0.769754,0.294358,0.430545,0.052046,0.819919,0.000000
4Mbit_Loss10_Fortnite,43,11.291393,0.380751,4829.932294,69.497714,55.975295,0.769475,0.287732,0.432897,0.052078,0.830753,0.110735
4Mbit_Loss10_Fortnite,44,11.250016,0.381232,4876.168969,69.829571,56.013268,0.775377,0.279387,0.432202,0.053629,0.829598,0.000000
4Mbit_Loss10_Fortnite,45,11.264373,0.381879,4860.075701,69.714243,55.896625,0.776745,0.280469,0.431496,0.052587,0.831352,0.000000
4Mbit_Loss10_Fortnite,46,11.272001,0.381364,4851.547430,69.653050,55.831048,0.776849,0.278774,0.433777,0.053945,0.824513,0.000000
4Mbit_Loss10_Fortnite,47,11.312985,0.381498,4805.978422,69.325164,55.523884,0.771538,0.279451,0.433783,0.053810,0.827982,0.000000
4Mbit_Loss10_Fortnite,48,11.356542,0.383836,4758.018489,68.978391,55.228676,0.762501,0.281055,0.436279,0.055533,0.820090,0.000000
4Mbit_Loss10_Fortnite,49,11.316865,0.385760,4801.687148,69.294207,55.263095,0.760160,0.270311,0.433161,0.054425,0.824522,0.000000
4Mbit_Loss10_Fortnite,50,11.362138,0.388999,4751.891750,68.933967,54.740967,0.750549,0.275946,0.434959,0.054405,0.815568,0.000000
4Mbit_Loss10_Fortnite,51,11.426183,0.393157,4682.330792,68.427559,54.282970,0.738307,0.275090,0.434355,0.052389,0.822107,0.000000
4Mbit_Loss10_Fortnite,52,11.488924,0.400423,4615.172268,67.935059,53.905622,0.725977,0.267309,0.433974,0.054368,0.818210,0.000000
4Mbit_Loss10_Fortnite,53,11.463627,0.407801,4642.133655,68.133205,54.064986,0.721444,0.240574,0.451381,0.053730,0.812949,0.000000
4Mbit_Loss10_Fortnite,54,11.414310,0.413374,4695.148984,68.521157,54.323933,0.719158,0.196070,0.441991,0.055637,0.809926,0.000000
4Mbit_Loss10_Fortnite,55,10.952038,0.449569,5222.477755,72.266713,58.310415,0.752597,-0.149915,0.405821,0.063157,0.823225,0.000000
4Mbit_Loss10_Fortnite,56,10.947010,0.450006,5228.527342,72.308556,58.108309,0.749583,-0.126652,0.395898,0.064581,0.820173,0.000000
4Mbit_Loss10_Fortnite,57,10.965778,0.452752,5205.980223,72.152479,58.037353,0.751101,-0.117579,0.389373,0.066752,0.818770,1.192156
