ID,command,encrypted_cmd
59,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ec318e22d39b5510e09a39ee6978a7cbda1d41bdf1e02108e2e5ff7dc8721bcd8e500d5e92d88ca52a1601b6ea
63,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
63,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
67,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3671de6f7a5990e3486e3e409d0d80d59b6413d443dd27e8989b874be93378dbdf395e2059cb07a411bbc6df15
67,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3671de6f7a5990e3486e3e409d0d80d59b6413d443dd27e8989b874be93378dbdf395e2059cb07a411bbc6df15
71,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},076c97da5e89e3a5cf6aac79abb45a0cea78af34cebdaf0fc0e0b5450abfe6a095e94ec95a9fd4e30f15ba38ea
71,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},076c97da5e89e3a5cf6aac79abb45a0cea78af34cebdaf0fc0e0b5450abfe6a095e94ec95a9fd4e30f15ba38ea
75,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},076c97da5e89e3a5cf6aac79abb45a0cea78af34cebdaf0fc0e0b5450abfe6a095e94ec95a9fd4e30f15ba38ea
79,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},076c97da5e89e3a5cf6aac79abb45a0cea78af34cebdaf0fc0e0b5450abfe6a095e94ec95a9fd4e30f15ba38ea
83,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},585e323613cc08e35f04dfc5f481074bc7ce1539db4ecf12140841294beca62e09924ef0b7e0c7cbaa466fd180
83,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},585e323613cc08e35f04dfc5f481074bc7ce1539db4ecf12140841294beca62e09924ef0b7e0c7cbaa466fd180
88,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
88,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
92,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
96,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
100,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
100,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
104,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
108,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
112,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': -0.0303955078125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},fc47553e093b2fe5ab05f0e9c049ed6f5aac996401c43b06b6f4b55cab824d90da7c2404e077775c245e4a7b6e
112,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': -0.0303955078125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},fc47553e093b2fe5ab05f0e9c049ed6f5aac996401c43b06b6f4b55cab824d90da7c2404e077775c245e4a7b6e
