frame_id,fps,cps
10,14.35285097640558,1.1139616151102512
14,13.058864385220245,3.152506396586586
18,12.74102710620748,3.227565808148086
27,15.298854244279791,1.9973558444075283
30,15.921543220332563,4.224924716909362
35,16.774087644428118,2.6109211741368985
39,16.16931785268627,4.138903779636757
43,18.637892841663707,4.368275866537302
43,19.40580021894786,24.30986658968785
47,18.243249505015292,4.578976399136315
47,17.501090055382384,24.25636297772137
51,17.392173956576222,4.12625743671926
55,21.01642713312021,3.2116295830677535
59,20.210082596091073,3.0633530731822
75,18.60561934743649,1.6170903500247096
84,13.077214517668349,2.017022341360791
88,12.285538269044686,3.2043638308394766
88,13.766586723646267,17.88813436931566
92,11.287249645090133,2.8158077645802178
96,11.036463537436484,3.07458951078511
96,11.085755401822963,15.764904412580197
100,12.346713849868797,3.055362166405788
104,12.384919636317319,2.4691104163572124
108,24.208488343382825,5.60340781780209
112,43.472615100081114,4.842763062298791
117,35.00384884835828,4.5437203726156
