frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,27.110142327131797,0.017113247999986925,2800
2,(1280, 720),2764800,3,27.453208408349468,0.011617419000003792,2800
3,(1280, 720),2764800,3,30.78399382546059,0.010815150000098583,2800
4,(1280, 720),2764800,3,26.754726817894728,0.013592623000022286,2800
5,(1280, 720),2764800,3,31.544493476350656,0.011431581000124424,2800
6,(1280, 720),2764800,3,29.371605945854544,0.012731791999840425,2800
7,(1280, 720),2764800,3,16.683292123329764,0.023446498000112115,2800
8,(1280, 720),2764800,3,10.285555617810116,0.06261272300002929,2800
9,(1280, 720),2764800,3,13.54932529575385,0.03338664200009589,1960.0
10,(1280, 720),2764800,3,15.172273810559105,0.03227980099995875,1960.0
11,(1280, 720),2764800,3,17.15281606789824,0.022876001999975415,1960.0
12,(1280, 720),2764800,3,15.123748865174292,0.025352680999958466,1960.0
13,(1280, 720),2764800,3,16.938079344780313,0.02358000100002755,1960.0
14,(1280, 720),2764800,3,15.21768603121645,0.021571834000042145,1960.0
15,(1280, 720),2764800,3,15.83174903703533,0.02097905899995567,1960.0
16,(1280, 720),2764800,3,15.001907717592914,0.023021449999987453,1960.0
17,(1280, 720),2764800,3,17.20029817749418,0.01868073499986167,1960.0
18,(1280, 720),2764800,3,14.402743365402076,0.024497434000068097,1960.0
19,(1280, 720),2764800,3,14.827209043609999,0.029339974000095026,1960.0
20,(1280, 720),2764800,3,18.549754931788684,0.020891878999918845,1960.0
21,(1280, 720),2764800,3,13.679823378133252,0.03070464000006723,1960.0
22,(1280, 720),2764800,3,16.977166017301883,0.02378028600014659,1960.0
23,(1280, 720),2764800,3,15.386614460908161,0.027245663000030618,1960.0
24,(1280, 720),2764800,3,18.697838756107963,0.018148295999935726,1960.0
24,(1280, 720),2764800,3,14.165104893014604,0.0229164889999538,1960.0
25,(1280, 720),2764800,3,15.086159394681317,0.026082599999881495,1960.0
26,(1280, 720),2764800,3,15.451094789646534,0.029670967999891218,1960.0
27,(1280, 720),2764800,3,17.55469921391625,0.024361529999850973,1960.0
28,(1280, 720),2764800,3,14.783427736117837,0.029810147999796754,1960.0
29,(1280, 720),2764800,3,17.39392795710556,0.0211065140001665,1960.0
29,(1280, 720),2764800,3,14.40657474583895,0.03031833399995776,1960.0
30,(1280, 720),2764800,3,16.48334114421812,0.026173376000087956,1960.0
31,(1280, 720),2764800,3,14.744349710830184,0.033351207000123395,1960.0
32,(1280, 720),2764800,3,16.55511115389038,0.023891234999837252,1960.0
33,(1280, 720),2764800,3,15.561516550040832,0.03183840100018642,1960.0
34,(1280, 720),2764800,3,15.306307139921874,0.027622417999964455,1960.0
35,(1280, 720),2764800,3,16.89780755167665,0.026063562999979695,1960.0
36,(1280, 720),2764800,3,16.82010555657834,0.019759921000058966,1960.0
36,(1280, 720),2764800,3,13.267932685750646,0.03128924799989363,1960.0
37,(1280, 720),2764800,3,17.243137813100798,0.02744113199992171,1960.0
38,(1280, 720),2764800,3,14.756355599250174,0.03511179799988895,1960.0
39,(1280, 720),2764800,3,17.150871500091213,0.030586512999889237,1960.0
40,(1280, 720),2764800,3,15.936850548421928,0.02674284800013993,1960.0
41,(1280, 720),2764800,3,17.799215944571696,0.021054481999954078,1960.0
42,(1280, 720),2764800,3,15.478238007497389,0.026936221000141813,1960.0
43,(1280, 720),2764800,3,16.82903204591517,0.020255285000075673,1960.0
44,(1280, 720),2764800,3,14.668095397867372,0.029529866999837395,1960.0
44,(1280, 720),2764800,3,17.007549549187985,0.027252970999825266,1960.0
45,(1280, 720),2764800,3,14.492240513851801,0.03153804399994442,1960.0
46,(1280, 720),2764800,3,16.94795153581497,0.02360929900009978,1960.0
47,(1280, 720),2764800,3,15.553179306278416,0.024259760999939317,1960.0
48,(1280, 720),2764800,3,16.8155965196002,0.023242371999913303,1960.0
48,(1280, 720),2764800,3,14.330689516941963,0.03201945299997533,1960.0
48,(1280, 720),2764800,3,18.08002370366709,0.018293046000053437,1960.0
49,(1280, 720),2764800,3,13.862558499310754,0.029837235999821132,1960.0
50,(1280, 720),2764800,3,16.085716536775582,0.030063246000054278,1960.0
51,(1280, 720),2764800,3,18.227778032737934,0.023406172000022707,1960.0
52,(1280, 720),2764800,3,14.268304711842594,0.029014846999871224,1960.0
53,(1280, 720),2764800,3,16.56340515380538,0.02701941500004068,1960.0
54,(1280, 720),2764800,3,14.71404345390856,0.024807715999941138,1960.0
55,(1280, 720),2764800,3,16.16077723771058,0.026054828999804158,1960.0
