Video,Metric,Mean,Std,Min,Max
4Mbit_Loss1_Forza,psnr,10.390723,0.659923,8.653464,11.299476
4Mbit_Loss1_Forza,ssim,0.422913,0.082534,0.261697,0.535775
4Mbit_Loss1_Forza,mse,6016.023913,996.967579,4820.951552,8866.126530
4Mbit_Loss1_Forza,rmse,77.320242,6.132221,69.433072,94.160111
4Mbit_Loss1_Forza,mae,61.750498,6.267754,53.084600,76.926591
4Mbit_Loss1_Forza,nrmse,1.314805,0.299247,0.978078,2.127413
4Mbit_Loss1_Forza,correlation,0.235726,0.121937,-0.038371,0.484590
4Mbit_Loss1_Forza,gms,0.602816,0.043924,0.489419,0.674694
4Mbit_Loss1_Forza,edge_similarity,0.157203,0.033817,0.076178,0.245689
4Mbit_Loss1_Forza,lpips,0.534909,0.037506,0.468811,0.598194
4Mbit_Loss1_Forza,vmaf,12.077503,18.605691,0.000000,62.436855
