Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Forza,42,9.143889,0.265903,7919.384334,88.990923,74.381554,2.001558,0.176418,0.664814,0.173862,0.598194,44.340751
4Mbit_Loss1_Forza,43,9.342785,0.264115,7564.875959,86.976295,73.188541,1.970578,0.192660,0.674694,0.166148,0.590762,46.725110
4Mbit_Loss1_Forza,44,9.326346,0.263271,7593.565843,87.141069,73.477819,2.003400,0.183682,0.665614,0.179826,0.590425,44.824975
4Mbit_Loss1_Forza,45,9.323644,0.261697,7598.291002,87.168177,73.756995,2.082100,0.140084,0.664658,0.183943,0.595608,52.359787
4Mbit_Loss1_Forza,46,9.413048,0.268355,7443.471649,86.275556,72.689435,2.127413,0.137538,0.660468,0.181125,0.592317,52.207499
4Mbit_Loss1_Forza,47,9.691592,0.285097,6981.056334,83.552716,70.352131,1.919852,0.222682,0.661741,0.162342,0.575971,20.719611
4Mbit_Loss1_Forza,48,9.840068,0.298601,6746.423218,82.136613,68.920162,1.785684,0.281733,0.668791,0.178897,0.576911,20.454293
4Mbit_Loss1_Forza,49,9.865846,0.312341,6706.497625,81.893209,68.468113,1.682492,0.316500,0.663865,0.170586,0.576441,23.477439
4Mbit_Loss1_Forza,50,9.882663,0.312749,6680.578693,81.734807,68.368176,1.679128,0.320365,0.668179,0.170647,0.571749,55.959367
4Mbit_Loss1_Forza,51,9.970448,0.328356,6546.898221,80.912905,67.478801,1.583703,0.353960,0.661004,0.153057,0.572049,10.905740
4Mbit_Loss1_Forza,52,10.020095,0.342875,6472.482716,80.451742,66.846166,1.524714,0.366346,0.654557,0.142547,0.575674,31.171063
4Mbit_Loss1_Forza,53,10.311309,0.379212,6052.704719,77.799131,64.280713,1.429980,0.376166,0.654400,0.137495,0.562268,47.114638
4Mbit_Loss1_Forza,54,10.324766,0.379384,6033.978394,77.678687,64.218991,1.427633,0.379975,0.655199,0.140382,0.560935,62.410601
4Mbit_Loss1_Forza,55,10.333043,0.379380,6022.490242,77.604705,64.175927,1.426105,0.380796,0.654896,0.141043,0.562240,62.423311
