frame_id,frame_counter,fps,retry_status
1,1,83.01690055032337,0
2,2,7.1869358522291495,0
3,3,6.554436578652117,0
4,4,7.888070550613751,0
5,5,8.416354498543566,0
6,6,8.003035391829822,0
7,7,9.961868259166236,0
8,8,8.492527963968627,0
9,9,8.961684130897899,0
10,10,8.864132823654199,0
11,11,9.81407307296065,0
12,12,11.245903510334834,0
13,13,11.346905738013776,0
14,14,11.110362889874052,0
15,15,11.771026784777836,0
16,16,13.085735171744721,0
17,17,12.75154949795627,0
18,18,10.636497815837204,0
19,19,11.560527783892855,0
20,20,12.740221818925049,0
21,21,11.08870711793162,0
22,22,12.984273643930537,0
23,23,13.054386676094555,0
24,24,12.354202038034115,0
25,25,12.004103867530063,0
26,26,10.753486474181516,0
27,27,13.19987049891073,0
28,28,11.094768393974304,0
28,29,11.711725892393467,1
29,29,18.9654898065894,0
30,30,10.060557007129322,0
31,31,12.181368444919947,0
32,32,10.222523691382591,0
32,33,13.45588160706208,1
33,33,16.6247186249786,0
34,34,12.334927218742443,0
35,35,12.286954498874154,0
36,36,11.969037346469198,0
37,37,11.169334119900345,0
37,38,13.345373528830416,1
38,38,16.214103471990494,0
39,39,12.56835425185913,0
40,40,11.838129443006164,0
41,41,12.020108150553675,0
42,42,10.810353504307862,0
43,43,12.298105385897854,0
43,44,12.609193566721594,1
44,44,18.68048175432954,0
45,45,11.99258632702351,0
46,46,11.47863454167557,0
59,47,13.05015642334365,1
60,60,17.786051690246,0
61,61,12.153378210068889,0
62,62,11.610881779703343,0
63,63,12.439145832554892,0
63,64,11.333774187080886,1
64,64,18.676725951761643,0
65,65,11.633230531013897,0
66,66,11.42241350859986,0
67,67,12.1519131553476,0
68,68,11.863052120388192,0
69,69,11.912658721552623,0
70,70,10.925221739914136,0
70,71,12.406042065137266,1
71,71,17.91158447884277,0
72,72,12.162516025469158,0
73,73,12.750630699618808,0
74,74,11.155773872263843,0
75,75,11.920444811524007,0
75,76,10.927824298843708,1
76,76,18.492567967636838,0
77,77,11.31912557358965,0
78,78,11.99484835702692,0
79,79,10.716070782184985,0
80,80,12.28161447210014,0
80,81,12.382102724875788,1
81,81,17.496969308969735,0
82,82,11.339937439422117,0
83,83,13.173258223576605,0
84,84,12.696920347757993,0
85,85,11.230526799894854,0
86,86,11.851998920574774,0
87,87,11.743726474781202,0
87,88,11.293013068599041,1
88,88,22.196011200034913,0
89,89,11.386973707946941,0
90,90,12.0642280184603,0
91,91,11.668583932900104,0
92,92,11.233970556562653,0
92,93,12.181227032063491,1
93,93,20.230560008644897,0
94,94,11.768541179356635,0
95,95,26.54963517531233,0
96,96,27.732535220836105,0
-1,97,26.604148337461282,1
110,0,37.552220120934614,1
111,111,38.18097874727365,0
112,112,28.317369988511718,0
113,113,25.358844126728837,0
114,114,26.590355887413978,0
115,115,26.825253993711044,0
116,116,24.608833969366298,0
116,117,27.242864138454756,1
117,117,38.241090358125845,0
118,118,25.08239503988299,0
119,119,25.122020160666082,0
