Video,Metric,Mean,Std,Min,Max
4Mbit_Loss5_Fortnite,psnr,12.947990,1.465837,11.587142,17.585658
4Mbit_Loss5_Fortnite,ssim,0.435512,0.083895,0.363468,0.751017
4Mbit_Loss5_Fortnite,mse,3455.523771,877.091751,1133.742720,4511.970036
4Mbit_Loss5_Fortnite,rmse,58.173105,8.450661,33.671096,67.171199
4Mbit_Loss5_Fortnite,mae,41.725524,7.592610,16.950645,50.951378
4Mbit_Loss5_Fortnite,nrmse,0.704498,0.065592,0.549547,0.968758
4Mbit_Loss5_Fortnite,correlation,0.300084,0.063354,0.118048,0.438224
4Mbit_Loss5_Fortnite,gms,0.416488,0.032549,0.371772,0.508639
4Mbit_Loss5_Fortnite,edge_similarity,0.071595,0.045656,0.043717,0.277001
4Mbit_Loss5_Fortnite,lpips,0.752993,0.051739,0.542978,0.800407
4Mbit_Loss5_Fortnite,vmaf,0.996641,3.034318,0.000000,14.735959
