Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss5_Kombat,0,12.960014,0.352695,3289.114536,57.350802,43.166939,0.657275,0.139225,0.437110,0.043392,0.804562,0.000000
4Mbit_Loss5_Kombat,1,12.924848,0.353706,3315.855163,57.583463,43.305182,0.661664,0.139621,0.456448,0.060585,0.693495,0.000000
4Mbit_Loss5_Kombat,2,12.875471,0.345656,3353.770162,57.911745,43.544539,0.665558,0.136879,0.472343,0.068362,0.660014,0.230486
4Mbit_Loss5_Kombat,3,12.891634,0.340411,3341.311470,57.804078,43.620241,0.662677,0.138676,0.481344,0.063127,0.658967,2.251987
4Mbit_Loss5_Kombat,4,12.886736,0.321310,3345.081730,57.836682,43.720737,0.663376,0.131115,0.488693,0.068194,0.645986,4.469209
4Mbit_Loss5_Kombat,5,14.314438,0.345209,2407.889811,49.070254,36.954116,0.563205,0.248786,0.503074,0.090600,0.635524,5.831722
4Mbit_Loss5_Kombat,6,11.751374,0.297856,4344.531145,65.913057,52.106739,0.609784,0.034638,0.458946,0.041124,0.800767,5.475370
4Mbit_Loss5_Kombat,7,7.950218,0.286782,10424.579120,102.100828,85.726106,0.625661,0.035560,0.463667,0.065925,0.727234,15.498830
4Mbit_Loss5_Kombat,8,7.602686,0.313497,11293.062017,106.268820,91.089489,0.610645,0.260551,0.495618,0.072505,0.673773,19.114503
4Mbit_Loss5_Kombat,9,7.777432,0.350949,10847.686658,104.152228,88.913694,0.603168,0.284391,0.524209,0.081958,0.668163,14.259017
4Mbit_Loss5_Kombat,10,7.901206,0.314970,10542.892032,102.678586,87.554291,0.613555,0.315245,0.511155,0.092352,0.689359,16.570057
4Mbit_Loss5_Kombat,11,8.564240,0.355772,9050.161830,95.132339,79.978398,0.602255,0.381508,0.535311,0.099367,0.683013,17.173326
4Mbit_Loss5_Kombat,12,9.495989,0.335652,7302.666978,85.455643,70.108259,0.583645,0.403361,0.541290,0.097453,0.650171,16.722897
4Mbit_Loss5_Kombat,13,10.741899,0.356922,5481.386494,74.036386,58.701499,0.558967,0.449890,0.470794,0.084146,0.736333,15.431032
4Mbit_Loss5_Kombat,14,11.881196,0.341201,4216.583958,64.935229,50.545376,0.552285,0.459366,0.471567,0.075682,0.710485,13.217232
4Mbit_Loss5_Kombat,15,12.837045,0.355007,3383.575425,58.168509,44.839934,0.554809,0.461997,0.485029,0.072299,0.707034,10.635749
4Mbit_Loss5_Kombat,16,12.996248,0.361929,3261.786670,57.112054,43.871994,0.579704,0.431765,0.492099,0.098241,0.631844,8.521958
4Mbit_Loss5_Kombat,17,13.081041,0.374676,3198.720162,56.557229,43.344659,0.586195,0.416353,0.499575,0.106433,0.629955,7.770660
4Mbit_Loss5_Kombat,18,13.078185,0.376231,3200.824761,56.575832,43.219653,0.599702,0.394328,0.503376,0.112893,0.616090,8.753625
4Mbit_Loss5_Kombat,19,13.135375,0.379561,3158.951110,56.204547,42.957944,0.608729,0.380876,0.514824,0.110797,0.625255,8.253169
4Mbit_Loss5_Kombat,20,13.111959,0.382551,3176.029143,56.356270,42.995658,0.623514,0.356435,0.526678,0.125252,0.625234,9.196526
4Mbit_Loss5_Kombat,21,13.117738,0.386966,3171.805344,56.318783,42.929068,0.635356,0.342262,0.530196,0.131597,0.621001,9.538109
4Mbit_Loss5_Kombat,22,13.145259,0.388929,3151.769386,56.140622,42.673439,0.646336,0.332306,0.530543,0.138403,0.606460,10.392544
4Mbit_Loss5_Kombat,23,13.141127,0.370443,3154.769794,56.167337,42.700401,0.658444,0.316043,0.540872,0.123561,0.609063,8.253246
4Mbit_Loss5_Kombat,24,13.101145,0.367487,3183.946881,56.426473,42.792283,0.671948,0.304894,0.544971,0.127426,0.604372,8.003373
