frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,24.109888236986702,0.013985121011501178,7000
2,(1280, 720),2764800,3,13.914844133231574,0.04584346499177627,7000
3,(1280, 720),2764800,3,25.50493263084816,0.01167854199593421,7000
4,(1280, 720),2764800,3,24.222763572289875,0.01618637700448744,7000
5,(1280, 720),2764800,3,11.643957631720346,0.05385180699522607,7000
6,(1280, 720),2764800,3,15.454938446371834,0.019870192001690157,7700.0
7,(1280, 720),2764800,3,14.328093305729457,0.0224209939915454,7700.0
8,(1280, 720),2764800,3,13.532885838457268,0.025587014999473467,7700.0
9,(1280, 720),2764800,3,14.304561362415749,0.028900522011099383,7700.0
10,(1280, 720),2764800,3,15.602863924937635,0.025931024996680208,7700.0
11,(1280, 720),2764800,3,15.638068782562183,0.022806403998401947,7700.0
12,(1280, 720),2764800,3,16.19394726251986,0.01940563099924475,7700.0
13,(1280, 720),2764800,3,14.640228678534115,0.026564105006400496,7700.0
14,(1280, 720),2764800,3,15.15184367105075,0.02654566100682132,7700.0
15,(1280, 720),2764800,3,14.938834138928671,0.02529357999446802,7700.0
16,(1280, 720),2764800,3,16.809907815148126,0.01913954399060458,7700.0
17,(1280, 720),2764800,3,13.970845359357275,0.028507950002676807,7700.0
18,(1280, 720),2764800,3,17.386438868147398,0.021008411989896558,7700.0
19,(1280, 720),2764800,3,14.766653426817053,0.02506914100376889,7700.0
20,(1280, 720),2764800,3,14.811709405074955,0.022418676991946995,7700.0
21,(1280, 720),2764800,3,14.869033477848955,0.030510053999023512,7700.0
22,(1280, 720),2764800,3,14.71924504509839,0.029533425011322834,7700.0
23,(1280, 720),2764800,3,18.08601361158643,0.021765979996416718,7700.0
24,(1280, 720),2764800,3,14.757751290642394,0.022516236000228673,7700.0
24,(1280, 720),2764800,3,16.16758464501346,0.02162435899663251,5390.0
25,(1280, 720),2764800,3,16.312784726312614,0.01904291300161276,5390.0
