frame_id,fps,cps
9,11.092430472200844,0.9034793642631478
12,10.875707864472341,3.302268900789022
16,9.83486794483461,2.350857580973887
21,10.291397207010789,2.015844001670775
24,10.604611759007858,3.3424212206519797
24,9.272561263537487,14.211097497198459
29,13.797691132992558,1.7446777271257277
33,9.63042372583535,2.477001597492158
37,10.456411158728242,2.183795167612406
41,10.254956051069497,2.6096560714183332
41,10.682382131480542,14.113354141764384
45,16.006274203359638,1.8967006488217182
58,10.732540193602048,2.3368288733510094
58,9.917083660203721,15.56100367040433
62,9.917963957838447,2.702006154726563
66,11.043088386077072,2.2759615226766448
70,14.129337839160788,1.883497884529448
74,10.369370670858379,2.6803346795617866
78,13.945346430222745,2.2627545420661948
82,10.883539919252001,2.7183025931325075
95,14.67258292598793,4.538609785515018
99,23.567101382358985,4.14321290516102
103,23.80021905722655,5.008848506548915
107,33.568535754785046,4.964052910135954
111,22.816286840579497,5.799572672404576
115,22.543765960004578,4.951689754969351
119,24.62935468847302,5.090840396034366
