Video,Metric,Mean,Std,Min,Max
4Mbit_Loss1_Kombat,psnr,13.467008,1.471623,9.493511,16.738328
4Mbit_Loss1_Kombat,ssim,0.399467,0.095839,0.235720,0.628575
4Mbit_Loss1_Kombat,mse,3110.837431,1201.550563,1377.994773,7306.834397
4Mbit_Loss1_Kombat,rmse,54.904172,9.816789,37.121352,85.480023
4Mbit_Loss1_Kombat,mae,40.716605,8.521250,23.043350,66.150158
4Mbit_Loss1_Kombat,nrmse,0.606576,0.078380,0.388726,0.748716
4Mbit_Loss1_Kombat,correlation,0.399813,0.118350,0.124035,0.623296
4Mbit_Loss1_Kombat,gms,0.535598,0.050670,0.435914,0.597130
4Mbit_Loss1_Kombat,edge_similarity,0.148324,0.033089,0.087923,0.211273
4Mbit_Loss1_Kombat,lpips,0.571040,0.063202,0.455900,0.687075
4Mbit_Loss1_Kombat,vmaf,17.588548,7.761658,5.288138,45.596465
