Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Kombat,42,13.524865,0.372573,2887.977537,53.739906,39.974724,0.647899,0.367820,0.581970,0.156774,0.525691,7.447358
4Mbit_Loss1_Kombat,43,13.547216,0.374190,2873.153213,53.601802,39.881212,0.646713,0.370802,0.584532,0.158580,0.524562,7.804383
4Mbit_Loss1_Kombat,44,13.548681,0.380854,2872.184159,53.592762,39.879146,0.646434,0.373160,0.591754,0.164338,0.523153,8.623238
4Mbit_Loss1_Kombat,45,13.599338,0.382389,2838.876969,53.281113,39.635669,0.644694,0.376938,0.593254,0.167765,0.517493,7.985036
4Mbit_Loss1_Kombat,46,13.582757,0.386219,2849.735888,53.382918,39.726808,0.644187,0.377163,0.594492,0.170598,0.522342,9.548364
4Mbit_Loss1_Kombat,47,13.634749,0.389679,2815.823783,53.064336,39.428741,0.639127,0.387033,0.595051,0.172966,0.524483,10.388670
4Mbit_Loss1_Kombat,48,13.654709,0.395343,2802.911973,52.942535,39.316608,0.634354,0.397920,0.595870,0.181137,0.513531,10.870800
4Mbit_Loss1_Kombat,49,13.703974,0.402628,2771.296072,52.643101,39.029966,0.629740,0.407355,0.596538,0.185842,0.509158,10.737887
4Mbit_Loss1_Kombat,50,13.874561,0.419717,2664.552134,51.619300,38.478509,0.614398,0.437951,0.592145,0.186334,0.523979,7.141809
4Mbit_Loss1_Kombat,51,13.995235,0.403148,2591.533879,50.907110,37.903998,0.604650,0.457936,0.587034,0.174995,0.525887,8.873565
4Mbit_Loss1_Kombat,52,14.088136,0.415359,2536.686115,50.365525,37.401148,0.596846,0.481760,0.586588,0.176164,0.537971,12.627405
4Mbit_Loss1_Kombat,53,14.250014,0.426843,2443.874813,49.435562,36.572731,0.585491,0.511341,0.585665,0.181939,0.523920,13.717007
4Mbit_Loss1_Kombat,54,14.419022,0.441477,2350.596713,48.482953,35.784462,0.570662,0.542160,0.589032,0.185331,0.535659,11.862150
4Mbit_Loss1_Kombat,55,14.624267,0.452957,2242.092975,47.350744,34.752904,0.557942,0.562349,0.589276,0.189386,0.523623,11.728813
4Mbit_Loss1_Kombat,56,14.802821,0.461619,2151.781780,46.387302,34.024054,0.546703,0.583568,0.587651,0.191276,0.527961,12.980292
4Mbit_Loss1_Kombat,57,14.968762,0.468416,2071.114903,45.509503,33.188828,0.539511,0.596718,0.586856,0.196913,0.503258,14.536189
4Mbit_Loss1_Kombat,58,14.984798,0.474073,2063.481369,45.425559,33.097201,0.537427,0.602884,0.586074,0.197933,0.515333,16.299433
4Mbit_Loss1_Kombat,59,15.044810,0.479565,2035.163963,45.112792,32.686733,0.535806,0.609679,0.587215,0.203367,0.496144,15.805469
4Mbit_Loss1_Kombat,60,15.081390,0.485255,2018.093765,44.923199,32.574134,0.535044,0.613820,0.586168,0.202827,0.507200,14.756815
4Mbit_Loss1_Kombat,61,15.131259,0.487382,1995.052989,44.666016,32.333974,0.534243,0.616046,0.586005,0.204787,0.501884,14.006773
4Mbit_Loss1_Kombat,62,15.189735,0.491662,1968.370594,44.366323,32.169954,0.530928,0.621349,0.587940,0.203144,0.502224,14.476467
4Mbit_Loss1_Kombat,63,15.263917,0.494495,1935.034154,43.989023,31.861609,0.528799,0.623296,0.589607,0.203486,0.491676,13.576914
4Mbit_Loss1_Kombat,64,13.910395,0.289585,2642.657112,51.406781,37.778866,0.618597,0.439101,0.518606,0.124552,0.603542,17.573964
4Mbit_Loss1_Kombat,65,13.750664,0.283714,2741.662156,52.360884,38.438506,0.627917,0.430060,0.514355,0.125421,0.597963,18.691662
4Mbit_Loss1_Kombat,66,13.518252,0.271848,2892.378988,53.780842,39.723500,0.634703,0.413130,0.503652,0.117959,0.623487,19.020468
4Mbit_Loss1_Kombat,67,13.174509,0.251353,3130.613355,55.951884,41.503964,0.658049,0.366204,0.491495,0.113267,0.629840,19.488231
4Mbit_Loss1_Kombat,68,12.949662,0.244555,3296.963810,57.419194,42.923571,0.669397,0.325892,0.482174,0.107059,0.661405,20.312931
4Mbit_Loss1_Kombat,69,13.104443,0.256458,3181.530283,56.405055,41.529708,0.661877,0.338788,0.480466,0.110616,0.653913,18.920146
4Mbit_Loss1_Kombat,70,12.994340,0.254945,3263.219907,57.124600,42.293649,0.670311,0.314992,0.467698,0.105929,0.667612,17.805958
4Mbit_Loss1_Kombat,71,12.995511,0.249671,3262.340109,57.116899,42.133671,0.673665,0.303763,0.472718,0.105693,0.652185,29.159306
4Mbit_Loss1_Kombat,72,12.991048,0.247689,3265.694829,57.146258,42.138654,0.675038,0.296668,0.476444,0.105327,0.656872,30.714210
4Mbit_Loss1_Kombat,73,12.809029,0.241584,3405.473474,58.356435,43.388723,0.692469,0.257057,0.461613,0.098122,0.670375,29.543954
4Mbit_Loss1_Kombat,74,12.736245,0.238593,3463.026603,58.847486,43.870289,0.701485,0.228835,0.454066,0.096792,0.675980,20.823234
4Mbit_Loss1_Kombat,75,12.642285,0.238621,3538.766447,59.487532,44.457275,0.713304,0.209425,0.450752,0.097409,0.670097,21.018549
4Mbit_Loss1_Kombat,76,12.616849,0.243098,3559.553138,59.661991,44.839524,0.713816,0.206297,0.441227,0.092368,0.681738,29.565930
4Mbit_Loss1_Kombat,77,12.663342,0.238767,3521.649868,59.343491,44.682673,0.713143,0.204883,0.440086,0.088691,0.679421,28.085386
4Mbit_Loss1_Kombat,78,12.642237,0.239259,3538.805087,59.487857,44.911025,0.715778,0.202227,0.438125,0.087923,0.687075,29.637331
4Mbit_Loss1_Kombat,79,12.618169,0.235797,3558.471333,59.652924,45.005196,0.722473,0.196846,0.440044,0.089543,0.678414,29.053211
4Mbit_Loss1_Kombat,80,12.508924,0.235720,3649.118687,60.407936,45.669209,0.732523,0.184389,0.435914,0.089432,0.683750,28.040231
4Mbit_Loss1_Kombat,81,12.326716,0.239657,3805.473722,61.688522,46.812693,0.743560,0.146447,0.437793,0.092010,0.681100,29.611757
4Mbit_Loss1_Kombat,82,12.057612,0.236662,4048.732819,63.629654,48.333910,0.748716,0.124035,0.437140,0.093023,0.679797,28.790008
