Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss10_Forza,0,12.223510,0.500068,3896.990323,62.425879,48.990999,0.879370,0.192519,0.484124,0.156478,0.628307,0.000000
4Mbit_Loss10_Forza,1,12.176163,0.497148,3939.708427,62.767097,49.124195,0.883771,0.187577,0.478934,0.144317,0.635979,0.000000
4Mbit_Loss10_Forza,2,12.151934,0.497448,3961.748966,62.942426,49.202159,0.886001,0.185215,0.483038,0.141573,0.591023,0.000000
4Mbit_Loss10_Forza,3,12.153419,0.497561,3960.394383,62.931664,49.200927,0.885683,0.185459,0.487761,0.142522,0.588407,0.000000
4Mbit_Loss10_Forza,4,12.042165,0.495515,4063.159424,63.742917,49.416046,0.897388,0.179351,0.491700,0.128703,0.582860,0.000000
4Mbit_Loss10_Forza,5,12.034525,0.491070,4070.313126,63.799006,49.690555,0.906176,0.179624,0.518233,0.144071,0.547191,0.000000
4Mbit_Loss10_Forza,6,12.033998,0.479126,4070.807593,63.802881,50.032111,0.920547,0.180354,0.525711,0.155307,0.543440,0.000000
4Mbit_Loss10_Forza,7,11.969782,0.458317,4131.446699,64.276331,50.685144,0.945446,0.177564,0.524088,0.141701,0.553015,0.000000
4Mbit_Loss10_Forza,8,12.054643,0.449991,4051.502047,63.651410,50.657009,0.945092,0.196303,0.542847,0.162764,0.547698,0.000000
4Mbit_Loss10_Forza,9,12.039544,0.430115,4065.612690,63.762157,51.253015,0.956486,0.183421,0.531877,0.130910,0.559539,0.000000
4Mbit_Loss10_Forza,10,11.838729,0.415656,4258.017425,65.253486,52.331142,0.989269,0.154275,0.518013,0.094029,0.585629,0.000000
4Mbit_Loss10_Forza,11,11.842129,0.411595,4254.685907,65.227953,52.118072,0.989025,0.163662,0.536015,0.095113,0.580592,0.000000
4Mbit_Loss10_Forza,12,11.893184,0.407579,4204.961204,64.845672,52.106667,0.989312,0.179013,0.541331,0.111921,0.576094,0.000000
4Mbit_Loss10_Forza,13,11.901621,0.406626,4196.799488,64.782710,52.033092,0.988456,0.187979,0.538889,0.113528,0.577378,0.000000
4Mbit_Loss10_Forza,14,11.692770,0.377933,4403.554145,66.359281,53.353686,1.019301,0.211165,0.499197,0.065620,0.617500,0.000000
4Mbit_Loss10_Forza,15,11.589374,0.365517,4509.651387,67.153938,53.997754,1.040128,0.210882,0.489071,0.060382,0.635628,0.000000
4Mbit_Loss10_Forza,16,11.493215,0.356620,4610.614662,67.901507,55.070835,1.059423,0.181710,0.490881,0.060173,0.634811,0.000000
4Mbit_Loss10_Forza,17,11.451653,0.351233,4654.950100,68.227195,54.918586,1.064391,0.182946,0.476249,0.059438,0.663188,0.000000
4Mbit_Loss10_Forza,18,11.476882,0.351836,4627.987710,68.029315,54.851036,1.061234,0.183754,0.472489,0.059244,0.664607,0.000000
4Mbit_Loss10_Forza,19,11.456600,0.351853,4649.650972,68.188349,54.839064,1.063799,0.185733,0.472967,0.061010,0.666434,0.000000
