Video,Metric,Mean,Std,Min,Max
4Mbit_Loss10_Forza,psnr,11.180869,0.737386,10.115396,12.223510
4Mbit_Loss10_Forza,ssim,0.302332,0.107203,0.174089,0.500068
4Mbit_Loss10_Forza,mse,5025.953513,845.684293,3896.990323,6331.997744
4Mbit_Loss10_Forza,rmse,70.641330,5.979629,62.425879,79.573851
4Mbit_Loss10_Forza,mae,59.280120,7.011234,48.990999,69.449218
4Mbit_Loss10_Forza,nrmse,1.260459,0.311699,0.879370,1.945815
4Mbit_Loss10_Forza,correlation,0.122980,0.138367,-0.194718,0.303280
4Mbit_Loss10_Forza,gms,0.420865,0.078844,0.321243,0.542847
4Mbit_Loss10_Forza,edge_similarity,0.068165,0.038993,0.027750,0.162764
4Mbit_Loss10_Forza,lpips,0.709386,0.093217,0.543440,0.821734
4Mbit_Loss10_Forza,vmaf,0.703456,2.617146,0.000000,15.421182
