ID,command,encrypted_cmd
487,{'axes': {'0': 0.035919189453125, '1': 0.056884765625, '2': -1.0, '3': 0.064361572265625, '4': 0.0460205078125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c9be6aaea168607c7721505cf6468ddfc2ac2d15a77fd46e6db621f3da322694723cc18dcc316169927a60ebaf
491,{'axes': {'0': 0.03887939453125, '1': 0.050872802734375, '2': -1.0, '3': 0.064361572265625, '4': 0.048675537109375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8b250507dbfa835279fe7c393b594d110a95ee0de656e62857e98c0d2f41e49d633174d746aa050f8139a17c69
491,{'axes': {'0': 0.03887939453125, '1': 0.050872802734375, '2': -1.0, '3': 0.064361572265625, '4': 0.048675537109375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8b250507dbfa835279fe7c393b594d110a95ee0de656e62857e98c0d2f41e49d633174d746aa050f8139a17c69
496,{'axes': {'0': -1.0, '1': 0.4093017578125, '2': -1.0, '3': 0.064361572265625, '4': 0.048675537109375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6003300a5f3c53e6623bd09516ae06f037812e20d45b91b140484d9a0749d2bb746bd716cd2bacd410f4f399a1
496,{'axes': {'0': -1.0, '1': 0.4093017578125, '2': -1.0, '3': 0.064361572265625, '4': 0.048675537109375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6003300a5f3c53e6623bd09516ae06f037812e20d45b91b140484d9a0749d2bb746bd716cd2bacd410f4f399a1
500,{'axes': {'0': -0.029388427734375, '1': 0.056793212890625, '2': -1.0, '3': 0.064361572265625, '4': 0.04583740234375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1df5c4854d499a32eb888a5a5dfeb5956effb05cc8d341622f2896016215aa1d8a87f23b295e52f0425007b49a
500,{'axes': {'0': -0.029388427734375, '1': 0.056793212890625, '2': -1.0, '3': 0.064361572265625, '4': 0.04583740234375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1df5c4854d499a32eb888a5a5dfeb5956effb05cc8d341622f2896016215aa1d8a87f23b295e52f0425007b49a
504,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.0401611328125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},83efb854e7e9349885b582581ea989ebc11bbd82d756b3f7eeccc9747df69ec8fa4ed88c5abf0e5179d92215cd
504,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.0401611328125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},83efb854e7e9349885b582581ea989ebc11bbd82d756b3f7eeccc9747df69ec8fa4ed88c5abf0e5179d92215cd
508,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.009979248046875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ff9d863f363e48f682ec1bb01881f7db8425e696dcf6af503a0465d3b775cf90f0bebc4f4c1de88c5c03d61c29
508,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.009979248046875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ff9d863f363e48f682ec1bb01881f7db8425e696dcf6af503a0465d3b775cf90f0bebc4f4c1de88c5c03d61c29
512,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4ac4829d46400957550c5dfd99c795874257061a3ac60a0ee01e7a935d33b80f4764f46299ea449b2e54a6aca0
512,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4ac4829d46400957550c5dfd99c795874257061a3ac60a0ee01e7a935d33b80f4764f46299ea449b2e54a6aca0
516,{'axes': {'0': 0.042510986328125, '1': 0.047882080078125, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4ac4829d46400957550c5dfd99c795874257061a3ac60a0ee01e7a935d33b80f4764f46299ea449b2e54a6aca0
520,{'axes': {'0': -0.7852783203125, '1': 0.112640380859375, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0a270368fd58cf283aed0069aa7a084aa2d75081058e2913941982cb6c7c7033e41a85ae57ba88a8e74d041822
520,{'axes': {'0': -0.7852783203125, '1': 0.112640380859375, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0a270368fd58cf283aed0069aa7a084aa2d75081058e2913941982cb6c7c7033e41a85ae57ba88a8e74d041822
524,{'axes': {'0': -1.0, '1': 0.235870361328125, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d03ebe21f0e41c98404363cab47c51794468b2d3c325b407848d52d7656e12ec1add61032b059a0c8ce7b0b2b5
524,{'axes': {'0': -1.0, '1': 0.235870361328125, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d03ebe21f0e41c98404363cab47c51794468b2d3c325b407848d52d7656e12ec1add61032b059a0c8ce7b0b2b5
529,{'axes': {'0': -0.096435546875, '1': 0.145111083984375, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2d270f73dc4081f16097d5788d0e3734ca438e46a8421f9926057dfd616f65e5203dd8b00e552b9d946151f5ee
529,{'axes': {'0': -0.096435546875, '1': 0.145111083984375, '2': -1.0, '3': 0.064361572265625, '4': 0.0128173828125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2d270f73dc4081f16097d5788d0e3734ca438e46a8421f9926057dfd616f65e5203dd8b00e552b9d946151f5ee
532,{'axes': {'0': 0.031494140625, '1': 0.05218505859375, '2': -1.0, '3': 0.064361572265625, '4': 0.0015869140625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},aa1d4bceb0b70f24d4adb985e7957821c74d4d83d84eccd6965d45cfe16305c2533c90d4a834d40c64d48983fd
532,{'axes': {'0': 0.031494140625, '1': 0.05218505859375, '2': -1.0, '3': 0.064361572265625, '4': 0.0015869140625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},aa1d4bceb0b70f24d4adb985e7957821c74d4d83d84eccd6965d45cfe16305c2533c90d4a834d40c64d48983fd
537,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.0211181640625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},03af5c5d964a83f90711f5b1f598a08e1508f6a6587faea6b5b00b3f1ad10fed313e432608d0f830d599630925
537,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.0211181640625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},03af5c5d964a83f90711f5b1f598a08e1508f6a6587faea6b5b00b3f1ad10fed313e432608d0f830d599630925
541,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.0093994140625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6fe4c4848214825a245787c9b36737fd25e45a7f5486f4d9979e8b5994a2e2d89eb6360e3e04d82c02152b338e
541,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.0093994140625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6fe4c4848214825a245787c9b36737fd25e45a7f5486f4d9979e8b5994a2e2d89eb6360e3e04d82c02152b338e
545,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.006439208984375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7724ae68bf855145405e1330734e799f7469628d8517db34f8f1df6625ea60e29942a9a14b6c27e5d4d0d8dc7c
545,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.006439208984375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7724ae68bf855145405e1330734e799f7469628d8517db34f8f1df6625ea60e29942a9a14b6c27e5d4d0d8dc7c
549,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.009124755859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3bf1ed7f7cbca798fe54dd0bca2596993142a98971ff53be22d3ee90164dbac6f52bebee544cb6281494450b35
549,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': -0.009124755859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3bf1ed7f7cbca798fe54dd0bca2596993142a98971ff53be22d3ee90164dbac6f52bebee544cb6281494450b35
553,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.004638671875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f0fec9ca70f8abcb5b1018dc09fdbbc5eabe7a483002bedd103ff0e1350d2b0b18749bc8447a1b974038ae487d
553,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.004638671875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f0fec9ca70f8abcb5b1018dc09fdbbc5eabe7a483002bedd103ff0e1350d2b0b18749bc8447a1b974038ae487d
557,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ec2b3d92974066af11db06b8e9eaecdb00c3d0f4d36ed89be2c8d1e0d1ad8c4afbe8d3f95e4f7593f32dd7c463
557,{'axes': {'0': 0.034271240234375, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ec2b3d92974066af11db06b8e9eaecdb00c3d0f4d36ed89be2c8d1e0d1ad8c4afbe8d3f95e4f7593f32dd7c463
562,{'axes': {'0': 0.034271240234375, '1': 0.04644775390625, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cb96b98c4f387b2e0f43d05848b05d7003692b3da14840b5aa0c597e7efe0cbc27d8d1a0f2808f301053c22ea2
562,{'axes': {'0': 0.034271240234375, '1': 0.04644775390625, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cb96b98c4f387b2e0f43d05848b05d7003692b3da14840b5aa0c597e7efe0cbc27d8d1a0f2808f301053c22ea2
566,{'axes': {'0': 0.037078857421875, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f01aed3c24232230a40022a4030b65c740d1f6cd82d8b7e175813e5fe046c86bf4f7ba9b7a0949edec57ce6ea7
566,{'axes': {'0': 0.037078857421875, '1': 0.04925537109375, '2': -1.0, '3': 0.064361572265625, '4': 0.010162353515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f01aed3c24232230a40022a4030b65c740d1f6cd82d8b7e175813e5fe046c86bf4f7ba9b7a0949edec57ce6ea7
570,{'axes': {'0': 0.037078857421875, '1': 0.03173828125, '2': -1.0, '3': 0.064361572265625, '4': 0.007415771484375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d81f59a87dafd8f0459aba9e452269f7b764512b2ae1a29265472298f0af416b325c3bd1db2f4f32db344179e7
570,{'axes': {'0': 0.037078857421875, '1': 0.03173828125, '2': -1.0, '3': 0.064361572265625, '4': 0.007415771484375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d81f59a87dafd8f0459aba9e452269f7b764512b2ae1a29265472298f0af416b325c3bd1db2f4f32db344179e7
574,{'axes': {'0': -0.007080078125, '1': 0.05682373046875, '2': -1.0, '3': 0.064361572265625, '4': -0.00146484375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},dda19a4b7ea25fda8a2645d5fd406481aa184fafc90623083fdf490065056c505cc456e61c8f661359866bee2d
574,{'axes': {'0': -0.007080078125, '1': 0.05682373046875, '2': -1.0, '3': 0.064361572265625, '4': -0.00146484375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},dda19a4b7ea25fda8a2645d5fd406481aa184fafc90623083fdf490065056c505cc456e61c8f661359866bee2d
578,{'axes': {'0': -1.0, '1': 0.197998046875, '2': -1.0, '3': 0.064361572265625, '4': -0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cd55ef6bc5d3b103633214a304ccd299ef459282eaabd2e54d40944adb4391949639dc62638aaa2d6a1e80d125
578,{'axes': {'0': -1.0, '1': 0.197998046875, '2': -1.0, '3': 0.064361572265625, '4': -0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cd55ef6bc5d3b103633214a304ccd299ef459282eaabd2e54d40944adb4391949639dc62638aaa2d6a1e80d125
582,{'axes': {'0': 0.01959228515625, '1': 0.109588623046875, '2': -1.0, '3': 0.064361572265625, '4': -0.001373291015625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},26f0d62a0d6a9eae6d01eaf4b469dbc0a718914be0eef64e50af017198f4acb84e60601b593341c658f2ab8183
582,{'axes': {'0': 0.01959228515625, '1': 0.109588623046875, '2': -1.0, '3': 0.064361572265625, '4': -0.001373291015625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},26f0d62a0d6a9eae6d01eaf4b469dbc0a718914be0eef64e50af017198f4acb84e60601b593341c658f2ab8183
586,{'axes': {'0': 0.0338134765625, '1': 0.05194091796875, '2': -1.0, '3': 0.064361572265625, '4': 0.001251220703125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0172aada6a8fd0abd904ac7cb9108a602d80c2e6ebb613df36bb176f12ac052e4a03c7bc2d3e6a0ea8a5f00ff6
586,{'axes': {'0': 0.0338134765625, '1': 0.05194091796875, '2': -1.0, '3': 0.064361572265625, '4': 0.001251220703125, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0172aada6a8fd0abd904ac7cb9108a602d80c2e6ebb613df36bb176f12ac052e4a03c7bc2d3e6a0ea8a5f00ff6
591,{'axes': {'0': 0.013214111328125, '1': 0.0491943359375, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2e0e34982f70cefc2e05a75dfc82e88b57beb7bc0d7350cc7f2957ababa6c4b3fa279f397f4b7606597c585875
591,{'axes': {'0': 0.013214111328125, '1': 0.0491943359375, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2e0e34982f70cefc2e05a75dfc82e88b57beb7bc0d7350cc7f2957ababa6c4b3fa279f397f4b7606597c585875
595,{'axes': {'0': -0.620941162109375, '1': 0.31793212890625, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1e3cd83cf4f6fa3718a1812d4990c011dc44112bc6289fa17da8f82c4f2c5787455b6388d55fd265f5496f6086
595,{'axes': {'0': -0.620941162109375, '1': 0.31793212890625, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1e3cd83cf4f6fa3718a1812d4990c011dc44112bc6289fa17da8f82c4f2c5787455b6388d55fd265f5496f6086
599,{'axes': {'0': -0.04608154296875, '1': 0.080291748046875, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0fccb34c711066802e16748b2594c46589c972535f3427ed0a9a5ee95db5ab254a6e933974513b98eeaa3dbbce
599,{'axes': {'0': -0.04608154296875, '1': 0.080291748046875, '2': -1.0, '3': 0.064361572265625, '4': 0.00408935546875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0fccb34c711066802e16748b2594c46589c972535f3427ed0a9a5ee95db5ab254a6e933974513b98eeaa3dbbce
603,{'axes': {'0': -0.82916259765625, '1': 0.28515625, '2': -1.0, '3': 0.064361572265625, '4': 0.006988525390625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0537d47fc19f005fe3e75ed1871d22a9ebb2273e9a7702cb9ae2084757e62f10e77b40e1218966154b0502a338
603,{'axes': {'0': -0.82916259765625, '1': 0.28515625, '2': -1.0, '3': 0.064361572265625, '4': 0.006988525390625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0537d47fc19f005fe3e75ed1871d22a9ebb2273e9a7702cb9ae2084757e62f10e77b40e1218966154b0502a338
607,{'axes': {'0': 0.053192138671875, '1': 0.053802490234375, '2': -1.0, '3': 0.064361572265625, '4': 0.006988525390625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},805c2fb51280c2e1e83840cdcefb6358aaed40380fafe0538bcd64c713dfe0ced4d1e4d956a04b3d332e9142e3
607,{'axes': {'0': 0.053192138671875, '1': 0.053802490234375, '2': -1.0, '3': 0.064361572265625, '4': 0.006988525390625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},805c2fb51280c2e1e83840cdcefb6358aaed40380fafe0538bcd64c713dfe0ced4d1e4d956a04b3d332e9142e3
612,{'axes': {'0': 0.050262451171875, '1': 0.051025390625, '2': -1.0, '3': 0.064361572265625, '4': 0.00152587890625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d9f953e939126b21e8dbe3daccfb24ebc0fd3189206f85d26bc17a78fac7aa4989e699c04247376b69c142d1de
612,{'axes': {'0': 0.050262451171875, '1': 0.051025390625, '2': -1.0, '3': 0.064361572265625, '4': 0.00152587890625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d9f953e939126b21e8dbe3daccfb24ebc0fd3189206f85d26bc17a78fac7aa4989e699c04247376b69c142d1de
616,{'axes': {'0': 0.007598876953125, '1': 0.0728759765625, '2': -1.0, '3': 0.064361572265625, '4': -0.001434326171875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},db0c5a7e74db0a80a43558437c5a3db4af254d89a725c8c5c44b0af5b388856dfaa7a4a39da06bf28811d985c9
616,{'axes': {'0': 0.007598876953125, '1': 0.0728759765625, '2': -1.0, '3': 0.064361572265625, '4': -0.001434326171875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},db0c5a7e74db0a80a43558437c5a3db4af254d89a725c8c5c44b0af5b388856dfaa7a4a39da06bf28811d985c9
