ID,command,encrypted_cmd
68,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
72,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
76,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
81,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
85,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
89,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
93,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
93,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
97,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
101,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
