Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Kombat,46,19.387396,0.801438,748.756800,27.363421,10.286634,0.330202,0.816368,0.663971,0.302940,0.280895,47.464459
4Mbit_Kombat,47,19.350431,0.800231,755.156962,27.480119,10.321257,0.330981,0.815578,0.664511,0.303985,0.283401,48.655126
4Mbit_Kombat,48,19.392275,0.795455,747.916015,27.348053,10.424527,0.327683,0.819772,0.661458,0.304268,0.281053,51.405297
4Mbit_Kombat,49,19.246278,0.793277,773.486133,27.811619,10.528309,0.332695,0.813700,0.658470,0.304529,0.277071,43.855200
4Mbit_Kombat,50,19.287836,0.793741,766.119898,27.678871,10.537129,0.329447,0.814377,0.648963,0.291964,0.299375,18.719579
4Mbit_Kombat,51,19.509461,0.786113,728.004862,26.981565,10.524083,0.320474,0.826252,0.643156,0.282879,0.305518,12.319560
4Mbit_Kombat,52,19.402585,0.782682,746.142631,27.315611,10.687629,0.323698,0.823895,0.639148,0.274569,0.323420,18.536817
4Mbit_Kombat,53,19.518524,0.779849,726.487248,26.953427,10.606219,0.319223,0.832190,0.636179,0.274769,0.308425,29.596256
4Mbit_Kombat,54,19.578675,0.781708,716.494537,26.767416,10.620696,0.315062,0.838463,0.638136,0.272844,0.326432,17.548704
4Mbit_Kombat,55,19.572582,0.787817,717.500470,26.786199,10.484347,0.315626,0.840260,0.643038,0.279903,0.312400,12.791429
4Mbit_Kombat,56,19.643553,0.780440,705.870562,26.568225,10.575344,0.313123,0.842450,0.638668,0.268443,0.327097,11.438953
4Mbit_Kombat,57,19.659778,0.776054,703.238408,26.518643,10.600630,0.314376,0.843299,0.634870,0.270964,0.306684,14.477879
4Mbit_Kombat,58,19.692435,0.787159,697.970205,26.419126,10.437331,0.312563,0.845582,0.641560,0.278116,0.316963,15.099316
4Mbit_Kombat,59,19.595251,0.778718,713.765031,26.716381,10.623466,0.317311,0.843735,0.638470,0.272364,0.301760,16.085916
4Mbit_Kombat,60,19.543843,0.778543,722.264102,26.874972,10.732448,0.320086,0.840474,0.637428,0.269344,0.328119,14.131739
4Mbit_Kombat,61,19.556233,0.784255,720.206614,26.836665,10.559577,0.320989,0.840883,0.642533,0.276918,0.315606,13.197220
4Mbit_Kombat,62,19.647812,0.777606,705.178667,26.555200,10.641110,0.317784,0.843212,0.639472,0.267745,0.326418,14.336076
4Mbit_Kombat,63,19.610149,0.775229,711.320799,26.670598,10.613734,0.320611,0.841040,0.638451,0.265552,0.313764,13.053744
4Mbit_Kombat,64,19.670190,0.779002,701.554373,26.486872,10.523696,0.318726,0.840686,0.631439,0.260870,0.345706,15.042345
4Mbit_Kombat,65,19.643793,0.779491,705.831534,26.567490,10.536437,0.318600,0.840885,0.630374,0.263612,0.338006,18.954882
4Mbit_Kombat,66,19.576659,0.778872,716.827212,26.773629,10.575639,0.315973,0.845828,0.629599,0.259286,0.346259,11.524470
4Mbit_Kombat,67,19.495274,0.774864,730.386938,27.025672,10.693949,0.317848,0.843273,0.631299,0.259522,0.326925,14.054050
4Mbit_Kombat,68,19.509596,0.778899,727.982139,26.981144,10.716936,0.314548,0.846037,0.633345,0.265525,0.345184,13.971531
4Mbit_Kombat,69,19.403178,0.775181,746.040851,27.313748,10.834982,0.320509,0.840299,0.634766,0.263346,0.338061,24.258753
4Mbit_Kombat,70,19.462820,0.775139,735.865441,27.126840,10.798464,0.318312,0.841313,0.634621,0.264632,0.342308,32.388687
4Mbit_Kombat,71,19.339431,0.771859,757.072047,27.514942,10.901078,0.324525,0.836864,0.635935,0.263696,0.324209,35.264072
4Mbit_Kombat,72,19.330153,0.772283,758.691290,27.544351,10.917282,0.325367,0.836405,0.635513,0.264371,0.342640,35.985759
4Mbit_Kombat,73,19.392439,0.781295,747.887752,27.347536,10.651617,0.324511,0.839925,0.641231,0.274721,0.328665,37.342137
4Mbit_Kombat,74,19.428367,0.782247,741.726221,27.234651,10.619463,0.324647,0.840634,0.641705,0.276619,0.330021,37.882245
4Mbit_Kombat,75,19.488758,0.775359,731.483508,27.045952,10.639992,0.324303,0.841471,0.635151,0.269262,0.327068,36.200569
4Mbit_Kombat,76,19.464049,0.786239,735.657224,27.123002,10.491218,0.324509,0.841256,0.638120,0.275324,0.332772,37.497435
4Mbit_Kombat,77,19.400877,0.778631,746.436163,27.320984,10.657907,0.328322,0.839113,0.632773,0.269730,0.330471,41.699616
4Mbit_Kombat,78,19.389056,0.786441,748.470550,27.358190,10.513709,0.329183,0.837150,0.634569,0.277663,0.334901,40.851732
4Mbit_Kombat,79,19.429950,0.785709,741.455888,27.229688,10.469772,0.329786,0.837888,0.638028,0.280852,0.316553,40.727768
4Mbit_Kombat,80,19.556461,0.788315,720.168736,26.835960,10.345356,0.325420,0.842260,0.637160,0.277325,0.328718,39.982770
4Mbit_Kombat,81,19.522356,0.790132,725.846524,26.941539,10.288004,0.324739,0.839491,0.637099,0.277481,0.324757,37.972101
4Mbit_Kombat,82,19.411329,0.785734,744.641858,27.288127,10.523956,0.321093,0.842288,0.634691,0.271722,0.335687,33.842853
4Mbit_Kombat,83,19.464711,0.790146,735.544952,27.120932,10.420077,0.314461,0.851535,0.642170,0.280468,0.310296,30.495811
4Mbit_Kombat,84,19.302961,0.783105,763.456355,27.630714,10.611097,0.312738,0.841884,0.631411,0.255509,0.337629,21.825371
4Mbit_Kombat,85,19.290759,0.782687,765.604412,27.669558,10.482798,0.319827,0.841813,0.619010,0.251665,0.348360,31.943813
4Mbit_Kombat,86,19.262184,0.782755,770.658567,27.760738,10.499551,0.327609,0.839705,0.610018,0.246938,0.357724,32.200421
4Mbit_Kombat,87,19.160819,0.777470,788.857304,28.086604,10.641023,0.336007,0.829838,0.614308,0.244002,0.353286,30.159277
4Mbit_Kombat,88,19.230129,0.784685,776.367675,27.863375,10.506989,0.335129,0.831629,0.621480,0.254007,0.344359,37.209625
4Mbit_Kombat,89,19.401263,0.779691,746.369793,27.319769,10.465801,0.333546,0.838394,0.609733,0.242513,0.346554,23.611810
4Mbit_Kombat,90,19.376395,0.781118,750.655844,27.398099,10.485827,0.338677,0.834454,0.604187,0.235854,0.348133,33.123705
4Mbit_Kombat,91,19.521611,0.781138,725.970965,26.943848,10.457010,0.337205,0.837720,0.600659,0.234372,0.344578,32.207737
4Mbit_Kombat,92,19.556988,0.780820,720.081287,26.834330,10.569076,0.339354,0.836953,0.590814,0.230227,0.355226,34.003307
4Mbit_Kombat,93,19.606118,0.779281,711.981336,26.682978,10.533644,0.337074,0.839018,0.590811,0.230556,0.346539,35.492678
4Mbit_Kombat,94,19.687663,0.790070,698.737451,26.433642,10.255280,0.332059,0.844859,0.596219,0.237591,0.339634,31.196570
4Mbit_Kombat,95,19.657425,0.782998,703.619567,26.525828,10.546726,0.329483,0.847299,0.595176,0.233277,0.351344,33.425664
4Mbit_Kombat,96,19.638991,0.790852,706.612452,26.582183,10.411011,0.326792,0.853368,0.607511,0.250754,0.328654,32.058543
4Mbit_Kombat,97,19.500258,0.785712,729.549165,27.010168,10.615639,0.330293,0.849047,0.603251,0.248061,0.335736,31.419192
4Mbit_Kombat,98,19.548145,0.784572,721.549040,26.861665,10.681501,0.325617,0.853372,0.602039,0.248408,0.343256,32.238255
